,User,Question,Value,Accuracy,Expected Accuracy,User Accuracy,RMSE,Expected RMSE,User RMSE,Timestamp
0,5,1,31.0,0.6769655172413793,0.6820891348539871,0.7866666666666666,0.4501113940155386,0.4123748758976203,0.40519152814473447,2024-02-07 16:24:22.028335
1,9,1,31.0,0.6773283628456043,0.6823218436507397,0.42666666666666664,0.44997111552981134,0.4121414335195649,0.574580325341693,2024-02-07 16:24:22.044293
2,12,1,31.0,0.6772084498291395,0.6825545524474923,0.7866666666666666,0.45016520716412506,0.4119079911415094,0.3938005499733908,2024-02-07 16:24:22.060362
3,16,1,31.0,0.6770121155638397,0.682787261244245,0.5733333333333333,0.45016702980902207,0.411674548763454,0.5101174702351378,2024-02-07 16:24:22.075869
4,26,1,31.0,0.676712643678161,0.6830199700409977,0.7866666666666666,0.4503806169274702,0.41144110638539855,0.3917260745548195,2024-02-07 16:24:22.091461
5,27,1,31.0,0.6770754892823859,0.6832526788377501,0.7733333333333333,0.45015533652826656,0.4112076640073431,0.39649568307557437,2024-02-07 16:24:22.106980
6,37,1,31.0,0.6774377135756445,0.6834853876345028,0.7866666666666666,0.44993864450336746,0.41097422162928765,0.3929571442709935,2024-02-07 16:24:22.122812
7,38,1,31.0,0.6778005591798696,0.6837180964312555,0.4933333333333333,0.4497065914716939,0.41074077925123226,0.5380946979992614,2024-02-07 16:24:22.138601
8,45,1,31.0,0.6788487107797453,0.6836367084749287,0.8266666666666667,0.4492343453343006,0.4107826539299485,0.38847630704181907,2024-02-07 16:24:22.154325
9,52,1,31.0,0.6785610438024231,0.6838694172716815,0.8533333333333333,0.44920758050251436,0.4105492115518931,0.3630740883688264,2024-02-07 16:24:22.170143
10,67,1,31.0,0.6788337993165579,0.6841021260684339,0.8133333333333334,0.44900655893272634,0.41031576917383766,0.3759774852126532,2024-02-07 16:24:22.185888
11,71,1,31.0,0.6791046908977943,0.6843348348651868,0.8,0.44879594913906135,0.41008232679578216,0.38338599361345055,2024-02-07 16:24:22.201366
12,73,1,31.0,0.6794681578129854,0.6845675436619393,0.7733333333333333,0.44856584896327156,0.40984888441772677,0.41514689052481246,2024-02-07 16:24:22.217351
13,77,1,31.0,0.6798303821062441,0.6848002524586919,0.8266666666666667,0.4483501893589311,0.4096154420396714,0.38489747361753546,2024-02-07 16:24:22.232943
14,78,1,31.0,0.6796359117738429,0.6850329612554446,0.45333333333333337,0.44830920039069944,0.409381999661616,0.5442810967087257,2024-02-07 16:24:22.249211
15,87,1,31.0,0.6804026095060578,0.6849515732991179,0.76,0.44802691076228096,0.40942387434033223,0.4144662852472311,2024-02-07 16:24:22.265604
16,90,1,31.0,0.6807642124883504,0.6851842820958703,0.84,0.4478420381786378,0.4091904319622768,0.37488411296389734,2024-02-07 16:24:22.281644
17,91,1,31.0,0.6808499534016775,0.6854169908926231,0.64,0.44766981548767404,0.40895698958422133,0.47379938367290114,2024-02-07 16:24:22.297439
18,93,1,31.0,0.6810661696178938,0.6853356029362964,0.7866666666666666,0.4475639051952231,0.4089988642629377,0.4139265305994538,2024-02-07 16:24:22.313302
19,94,1,31.0,0.6813358185771979,0.685568311733049,0.6,0.4473968864160973,0.40876542188488224,0.4939056866091703,2024-02-07 16:24:22.329805
20,95,1,31.0,0.6809443926685307,0.6858010205298016,0.7333333333333334,0.4475787314097776,0.4085319795068268,0.4117517750037814,2024-02-07 16:24:22.345561
21,97,1,31.0,0.6809319664492078,0.6860337293265543,0.7866666666666666,0.44758184617211083,0.4082985371287714,0.3829809498968951,2024-02-07 16:24:22.361438
22,98,1,31.0,0.6812948120534327,0.6862664381233068,0.7733333333333333,0.4473561264470723,0.4080650947507159,0.39630152917950323,2024-02-07 16:24:22.377274
23,103,1,31.0,0.6811910531220876,0.6864991469200595,0.8,0.4473541509754102,0.40783165237266045,0.37726976308618926,2024-02-07 16:24:22.393532
24,107,1,31.0,0.6815545200372787,0.6867318557168122,0.7733333333333333,0.4471483928330315,0.40759820999460505,0.4049661167153297,2024-02-07 16:24:22.409117
25,116,1,31.0,0.6815439577508543,0.6869645645135649,0.7733333333333333,0.44713283115377983,0.40736476761654955,0.39637558710112336,2024-02-07 16:24:22.424498
26,122,1,31.0,0.6816265921093508,0.6871972733103174,0.6,0.44704795324731833,0.40713132523849416,0.48509572674561197,2024-02-07 16:24:22.439863
27,126,1,31.0,0.6813283628456043,0.6874299821070701,0.7733333333333333,0.44720339594091163,0.4068978828604387,0.3988477217280162,2024-02-07 16:24:22.455389
28,138,1,31.0,0.681690587138863,0.6876626909038226,0.76,0.44698086641328366,0.4066644404823832,0.3996135790182377,2024-02-07 16:24:22.470905
29,145,1,31.0,0.6820521901211556,0.6878953997005752,0.52,0.44675691561034975,0.40643099810432787,0.5236128054883199,2024-02-07 16:24:22.486831
30,156,1,31.0,0.6824492078285181,0.6878140117442487,0.8133333333333334,0.446604137948493,0.4064728727830441,0.3832031349532436,2024-02-07 16:24:22.503002
31,158,1,31.0,0.6828132960546753,0.6880467205410011,0.6799999999999999,0.4463615747457451,0.4062394304049888,0.4471512127896234,2024-02-07 16:24:22.519075
32,163,1,31.0,0.6824721963342653,0.6879653325846744,0.7333333333333334,0.44642182587668855,0.406281305083705,0.4175056612155642,2024-02-07 16:24:22.534599
33,167,1,31.0,0.6827393600497049,0.6881980413814272,0.5066666666666666,0.4463769501048232,0.40604786270564963,0.5332908377381814,2024-02-07 16:24:22.550153
34,168,1,31.0,0.6824367816091954,0.6884307501781798,0.7466666666666666,0.4466039372278298,0.40581442032759424,0.41447831856317274,2024-02-07 16:24:22.565679
35,171,1,31.0,0.6827045666356011,0.6886634589749323,0.7866666666666666,0.4464655427329765,0.40558097794953873,0.3934163185647231,2024-02-07 16:24:22.581111
36,174,1,31.0,0.6830674122398259,0.6888961677716849,0.7066666666666667,0.44623975981899966,0.4053475355714833,0.44548783254510255,2024-02-07 16:24:22.596490
37,177,1,31.0,0.6828673501087295,0.6891288765684377,0.6933333333333334,0.4463253499160499,0.4051140931934279,0.4614476397131422,2024-02-07 16:24:22.611872
38,178,1,31.0,0.6827598633115874,0.6893615853651902,0.8533333333333333,0.44636398614699224,0.40488065081537244,0.3774000970405614,2024-02-07 16:24:22.627605
39,180,1,31.0,0.6829394221808015,0.689594294161943,0.8133333333333334,0.4461714244702817,0.404647208437317,0.38376598830749054,2024-02-07 16:24:22.643237
40,187,1,31.0,0.6833035104069587,0.6898270029586955,0.8133333333333334,0.4459332748200714,0.40441376605926155,0.3867250765030106,2024-02-07 16:24:22.658669
41,194,1,31.0,0.6836675986331159,0.6900597117554482,0.7733333333333333,0.4457094647497493,0.40418032368120616,0.4085334661758547,2024-02-07 16:24:22.674022
42,198,1,31.0,0.6829580615097857,0.6899783237991215,0.64,0.44596960315132517,0.4042221983599224,0.4701100227113223,2024-02-07 16:24:22.689268
43,206,1,31.0,0.6826616961789377,0.6902110325958741,0.76,0.4461301463708369,0.40398875598186706,0.41493783634036574,2024-02-07 16:24:22.704425
44,216,1,31.0,0.6824641192917056,0.6904437413926268,0.7466666666666666,0.4461544097776145,0.40375531360381156,0.4074841336009414,2024-02-07 16:24:22.719921
45,218,1,31.0,0.6828251009630321,0.6906764501893794,0.3466666666666667,0.44594460864723495,0.4035218712257561,0.5947085426172515,2024-02-07 16:24:22.735203
46,220,1,31.0,0.6841460080770426,0.6905950622330524,0.6666666666666667,0.44532900688238425,0.40356374590447247,0.46178153120792503,2024-02-07 16:24:22.750709
47,224,1,31.0,0.6840372786579683,0.6908277710298052,0.6666666666666667,0.44544372333450893,0.403330303526417,0.4451824663042794,2024-02-07 16:24:22.766145
48,239,1,31.0,0.6837887542715129,0.6907463830734785,0.42666666666666664,0.44552723986404846,0.4033721782051334,0.5673395339825377,2024-02-07 16:24:22.781481
49,241,1,31.0,0.6842746194470333,0.6906649951171517,0.56,0.4452986635524507,0.4034140528838497,0.49008490262980564,2024-02-07 16:24:22.796925
50,247,1,31.0,0.6838813296054675,0.6908977039139044,0.8133333333333334,0.44549838264369185,0.40318061050579423,0.38548741355783683,2024-02-07 16:24:22.812455
