,x,y,party,color
0,-0.5909261303110245,-0.48544344516672094,0,C0
1,-0.83390034907785,-0.7208923090327347,0,C0
2,-0.6196181849671535,-0.5351426585598058,0,C0
3,-0.38333731287047734,-0.4822168936936677,0,C0
4,-0.5674661866989114,-0.5501940660445678,0,C0
6,-0.6255543234701971,-0.6155036834210714,0,C0
7,-0.5101418724349942,-0.5443134300594438,0,C0
8,-0.6554343862167036,-0.4738778912719991,0,C0
10,-0.5625509721978569,-0.48976089663261957,0,C0
11,-0.3158207266397627,-0.7268186796789885,0,C0
13,-0.5884778848756125,-0.7168230965809448,0,C0
14,-0.437030018038533,-0.5117655770025401,0,C0
15,-0.3788540888348423,-0.4811520586584999,0,C0
17,-0.5953876554597237,-0.6283656186755716,0,C0
18,-0.758430272285597,-0.35994060521707893,0,C0
19,-0.7541281107017807,-0.5218332783427276,0,C0
20,-0.26910615110610453,-0.47312366187473764,0,C0
21,-0.6072428004535416,-0.26230426304731747,0,C0
22,-0.20684128223230197,-0.6840405623033102,0,C0
23,-0.6777586583292834,-0.9145740318947373,0,C0
24,-0.5269703455254475,-0.6683257381286674,0,C0
25,-0.338174499374722,-0.6229765743174602,0,C0
28,-0.7195694020782536,-0.38314302979301673,0,C0
29,-0.6986784638845809,-0.35898260817468847,0,C0
30,-0.21516601034483612,-0.5471243136484503,0,C0
31,-0.36665267681487695,-0.3258941435642819,0,C0
32,-0.5915852776086802,-0.40747773419268474,0,C0
33,-0.48423541418636595,-0.47720684120877577,0,C0
34,-0.3988938630594704,-0.6634150003144099,0,C0
35,-0.48598256074841467,-0.5973781430344186,0,C0
36,-0.5920725380873874,-0.5311458424359495,0,C0
39,-0.3005738201908421,-0.5527751514655488,0,C0
40,-0.6868871627407998,-0.592327119586848,0,C0
41,-0.4164008084438537,-0.647015916674443,0,C0
42,-0.4020245073153275,-0.7049832034547305,0,C0
43,-0.7373017084161505,-0.4668684855999413,0,C0
44,-0.4649804442818349,-0.32781060270488105,0,C0
46,-0.6941196575106481,-0.26918432740959164,0,C0
47,-0.4562713378677752,-0.43985563988351617,0,C0
48,-0.406861020057897,-0.5896350740241716,0,C0
49,-0.5569087505092509,-0.4185344638098411,0,C0
50,-0.34221753214049255,-0.1941196706447469,0,C0
51,-0.6499737704066453,-0.664750877630234,0,C0
53,-0.5005341396033559,-0.20768639265384875,0,C0
54,-0.583013602353694,-0.7474807553542574,0,C0
55,-0.1644443992648959,-0.4513649807986091,0,C0
56,-0.558382028755415,-0.6825154737360181,0,C0
57,-0.49859709062005364,-0.36081626191706784,0,C0
58,-0.5139103706072686,-0.330069983601908,0,C0
59,-0.5513266493645662,-0.39340586195826355,0,C0
60,-0.5809411847731429,0.4566917268742591,1,C1
61,-0.33001499734347206,0.5471165521681176,1,C1
62,-0.35126821661433005,0.5532476335462541,1,C1
63,-0.41839959032817486,0.5186301671855528,1,C1
64,-0.40857293584178644,0.3594663692816924,1,C1
65,-0.3305275915916014,0.318016069868606,1,C1
66,-0.47504286804650014,0.502380994563505,1,C1
68,-0.8337329573875136,0.3459139084038094,1,C1
69,-0.5159820711323004,0.61905974668852,1,C1
70,-0.35340197312411903,0.38396002477380475,1,C1
72,-0.3318355049285374,0.628058391593233,1,C1
74,-0.5749665458534436,0.19568210514596213,1,C1
75,-0.5276550254783009,0.4108591797460365,1,C1
76,-0.7745936293588046,0.1219719549117596,1,C1
79,-0.7874527567671177,0.38540001754310776,1,C1
80,-0.2547293214519849,0.4616548604375359,1,C1
81,-0.549756940768941,0.5346686781767718,1,C1
82,-0.407536996808149,0.3707062727073921,1,C1
83,-0.48092380080803,0.3209399361148703,1,C1
84,-0.31421468232502503,0.4438991944832622,1,C1
85,-0.3516097625081256,0.33191406999892137,1,C1
86,-0.32491124383243897,0.4027513695394134,1,C1
88,-0.5350138879709742,0.43790007160018024,1,C1
89,-0.42677866457092206,0.48389306718616565,1,C1
92,-0.5105840341512727,0.30166220120872844,1,C1
96,-0.4713284580281202,0.7464710425285277,1,C1
99,-0.5187823663803822,0.6829071891219183,1,C1
100,-0.47931438037617885,0.6541950221762682,1,C1
101,-0.6088573991220503,0.4935272293623802,1,C1
102,-0.5715305421205659,0.4572570851723435,1,C1
104,-0.4977412257995221,0.41989658200286306,1,C1
105,-0.2848363200385785,0.453475850708032,1,C1
106,-0.6255164533064876,0.3940266045177871,1,C1
108,-0.6211242969532251,0.54554764592483,1,C1
109,-0.6155320058993611,0.2927809206112599,1,C1
110,-0.6244728215960016,0.40862198863423616,1,C1
111,-0.6244684301149237,0.644425807197159,1,C1
112,-0.4281100255998927,0.3073447457966024,1,C1
113,-0.5775025452298078,0.5811687094620112,1,C1
114,-0.3417157273712502,0.667709635435608,1,C1
115,-0.6566601226556638,0.4312497698642072,1,C1
117,-0.5118943605099006,0.6121497335955436,1,C1
118,-0.3065534538690843,0.65756699536274,1,C1
119,-0.1641459991314902,0.9675086763861505,1,C1
120,0.6125786322330218,-0.13273238816463545,2,C2
121,0.23756644109205532,-0.5138032186710234,2,C2
123,0.7223992151179676,-0.4677387592062363,2,C2
124,0.6916181240097695,-0.11868422306008047,2,C2
125,0.648179523928556,-0.2892979794110727,2,C2
127,0.4600869850560788,-0.5095356862790859,2,C2
128,0.6843389015268926,-0.5587948380381672,2,C2
129,0.5179500698923731,-0.48987111665361616,2,C2
130,0.7672529588848582,-0.452407606968837,2,C2
131,0.4597693039259035,-0.474642928981447,2,C2
132,0.5582001226085407,-0.33786926549568497,2,C2
133,0.4097121854431829,-0.2203394759378341,2,C2
134,0.672543127247386,-0.38198348919239433,2,C2
135,0.6369918521443552,-0.5077327067865676,2,C2
136,0.3005208301825729,-0.5667782492236281,2,C2
137,0.3961326620054339,-0.3385794556740793,2,C2
139,0.5847465894099819,-0.7541555128312353,2,C2
140,0.44846026999389804,-0.47780380402020084,2,C2
141,0.7186753297422863,-0.6052037258552789,2,C2
142,0.6134606193110449,-0.44494064626907975,2,C2
143,0.3592731344620796,-0.35931499033330605,2,C2
144,0.6052007850377726,-0.590015842108863,2,C2
146,0.4016611811537564,-0.7173896719836704,2,C2
147,0.5390051112048982,-0.4378643269412881,2,C2
148,0.6124983563744181,-0.35029816535964375,2,C2
149,0.7389632464055846,-0.3837923108051728,2,C2
150,0.5169091014976874,-0.5590366362647656,2,C2
151,0.7749605288184278,-0.6127170302712038,2,C2
152,0.44749015171293205,-0.4014918638452608,2,C2
153,0.361521684922096,-0.026100042262349465,2,C2
154,0.7003410440063986,-0.5158342548180002,2,C2
155,0.3764188493848986,-0.5806285416662822,2,C2
157,0.632318029888747,-0.2806854043215263,2,C2
159,0.6342885545308757,-0.7500403328536145,2,C2
160,0.630070578125329,-0.5585132040083796,2,C2
161,0.024981086349088466,-0.5623696018890153,2,C2
162,0.2594274624565241,-0.3948125681895199,2,C2
164,0.440857516017414,-0.26557064624165755,2,C2
165,0.3980374329944115,-0.5332858926242832,2,C2
166,0.7306016169807215,-0.3545635171739975,2,C2
169,0.7608629896783328,-0.35699903791945986,2,C2
170,0.3223091345115761,-0.5774337999102954,2,C2
172,0.8436860619132709,-0.3909571819030703,2,C2
173,0.7268482709061803,-0.7017774266562362,2,C2
175,0.4043778173308752,-0.4367030085132331,2,C2
176,0.2629596073864341,-0.38851725148221594,2,C2
179,0.6316488292206605,-0.6328652030490524,2,C2
181,0.16609965092215,0.2791076909672653,3,C3
182,0.3803818150328465,0.4648573414401942,3,C3
183,0.6166626871295227,0.5177831063063323,3,C3
184,0.43253381330108864,0.4498059339554322,3,C3
185,0.4655825559251371,0.4506702028344495,3,C3
186,0.3744456765298029,0.3844963165789285,3,C3
188,0.3445656137832964,0.5261221087280009,3,C3
189,0.5440254107768233,0.4016290519283955,3,C3
190,0.4374490278021431,0.5102391033673804,3,C3
191,0.6841792733602373,0.2731813203210115,3,C3
192,0.44585986888792956,0.8465012807532484,3,C3
193,0.4115221151243875,0.28317690341905527,3,C3
195,0.6211459111651577,0.5188479413415001,3,C3
196,0.4529774846395481,0.6143814557612651,3,C3
197,0.4046123445402762,0.3716343813244284,3,C3
199,0.24587188929821935,0.47816672165727236,3,C3
200,0.7308938488938954,0.5268763381252624,3,C3
201,0.3927571995464584,0.7376957369526825,3,C3
202,0.793158717767698,0.31595943769668977,3,C3
203,0.3222413416707166,0.08542596810526276,3,C3
204,0.4730296544745524,0.33167426187133264,3,C3
205,0.661825500625278,0.37702342568253977,3,C3
207,0.47313829414094694,0.8690956272081256,3,C3
208,0.2804305979217464,0.6168569702069833,3,C3
209,0.3013215361154191,0.6410173918253115,3,C3
210,0.7848339896551639,0.4528756863515497,3,C3
211,0.633347323185123,0.6741058564357181,3,C3
212,0.4084147223913198,0.5925222658073153,3,C3
213,0.515764585813634,0.5227931587912242,3,C3
214,0.6011061369405296,0.3365849996855901,3,C3
215,0.5140174392515854,0.4026218569655814,3,C3
217,0.648341677615568,0.5352064638690113,3,C3
219,0.6994261798091579,0.4472248485344512,3,C3
221,0.5835991915561464,0.352984083325557,3,C3
222,0.5979754926846724,0.29501679654526947,3,C3
223,0.2626982915838495,0.5331315144000587,3,C3
225,0.41060710468165756,0.607806547073723,3,C3
226,0.3058803424893519,0.7308156725904084,3,C3
227,0.5437286621322248,0.5601443601164838,3,C3
228,0.593138979942103,0.41036492597582835,3,C3
229,0.443091249490749,0.5814655361901588,3,C3
230,0.6577824678595074,0.8058803293552531,3,C3
231,0.3500262295933547,0.335249122369766,3,C3
232,0.5821585722456569,0.5224087752642448,3,C3
233,0.4994658603966441,0.7923136073461512,3,C3
234,0.4169863976463059,0.2525192446457426,3,C3
235,0.8355556007351042,0.5486350192013909,3,C3
236,0.441617971244585,0.31748452626398194,3,C3
237,0.5014029093799464,0.6391837380829322,3,C3
238,0.48608962939273137,0.669930016398092,3,C3
240,-0.04863981900301978,0.2133891154418174,4,C4
242,0.025647022561680156,-0.16105681267767266,4,C4
243,0.13604908064423665,-0.10109633743872504,4,C4
244,0.06541099821048377,0.1850140635002022,4,C4
245,0.11606814968713564,0.055103573505809786,4,C4
246,-0.16674759554481894,-0.006039781005604447,4,C4
248,0.08940576383334584,0.13612988451701563,4,C4
249,0.17512634387992282,0.0674137534891624,4,C4
250,-0.06933336982382597,-0.013427060517645646,4,C4
251,-0.013843572554142324,-0.10662933390299241,4,C4
253,0.019156626508201324,-0.043090192383175435,4,C4
254,-0.0017014238205545647,0.3789587399331959,4,C4
255,-0.06679919860367818,0.13784215665350977,4,C4
257,0.1351794423236665,0.04204306228529541,4,C4
258,-0.009947283167440476,0.08266341206298769,4,C4
259,0.1719989876656818,0.3905466177038065,4,C4
260,-0.18574993454111963,0.06067057684667919,4,C4
261,0.2068733510878524,0.12384867381023988,4,C4
262,0.24238405544472252,0.20166658048156702,4,C4
263,0.01845627437001134,0.014459250462038092,4,C4
264,-0.1842176501377701,-0.10320439684215645,4,C4
265,-0.10073358042102941,0.25872724349415516,4,C4
266,0.14487483800365605,-0.13094469371720738,4,C4
267,0.027569570656822022,0.004727899245363738,4,C4
268,-0.05206302374421408,-0.11366373010805542,4,C4
269,-0.11418600580837479,0.2994922025624759,4,C4
270,-0.2807903004837981,-0.27910939913868094,4,C4
272,-0.04177357320772766,0.10615488927261339,4,C4
273,-0.10306144495253251,-0.03377708367635569,4,C4
274,-0.27398449253268087,-0.2572917163869977,4,C4
276,-0.022822502015840653,-0.07927328552494055,4,C4
277,0.13747217673120557,0.09709900520161084,4,C4
280,-0.031812997513103514,-0.05491406415707835,4,C4
281,-0.1544702285050259,0.12931073885617417,4,C4
283,0.1076766949326547,0.028829277396269438,4,C4
285,0.26679738120087,0.033646346044309,4,C4
286,-0.040149410295404524,-0.026448566303405065,4,C4
287,-0.06423054568005886,-0.1308982330317291,4,C4
288,0.2634536040482021,0.08252111393016574,4,C4
289,0.2162654288623915,0.243985754990331,4,C4
290,-0.060136314262934046,-0.0192515192185015,4,C4
291,-0.15689484797567702,-0.004046192910824093,4,C4
292,-0.12009389465656328,0.41894695300057855,4,C4
293,0.03053474968171427,-0.1578860923176899,4,C4
294,0.006559771847109553,0.17370569424120713,4,C4
295,0.07285996075507502,-0.33299725815319436,4,C4
296,0.4101368120619175,0.09107972213221012,4,C4
298,-0.09031907480532006,-0.021693680670198976,4,C4
299,0.12332037611131559,0.12808116200911632,4,C4
