,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,,1.0,,,1.0,0.0,1.0,1.0,,,,,0.0,,,,,,,0.0,,,1.0,,,,1.0,,,,,,,,0.0,,,1.0,,,0.0,,1.0,,0.0,,0.0,,
1,,,,,,1.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,,,,1.0,0.0,,,,,,,,,0.0,1.0,,0.0,0.0,,,0.0,0.0
2,,,,,,,,,1.0,,,,0.0,,,,,0.0,1.0,,0.0,,0.0,1.0,,0.0,,,,0.0,,,,,,0.0,0.0,1.0,1.0,,,,,1.0,,,,0.0,,
3,,,1.0,,0.0,,,0.0,,,1.0,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,
4,,,,,,1.0,0.0,1.0,,,1.0,,,0.0,1.0,,,,,0.0,,0.0,,,,,,1.0,,,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,0.0,,0.0
6,,1.0,1.0,,1.0,,,,1.0,,1.0,,,0.0,,,,0.0,,,,,,,,0.0,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,0.0,,1.0,0.0,,
7,0.0,,1.0,,,,,1.0,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,1.0,,,,,0.0,1.0,,,,0.0,,,,0.0,1.0,,,0.0
8,,1.0,1.0,,1.0,,,1.0,1.0,,,,,0.0,,,,,1.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,,,,,,,0.0,
10,,1.0,1.0,,,1.0,,,,0.0,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,1.0,,0.0,,,0.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,
11,,,1.0,1.0,,,,1.0,,,1.0,0.0,,,,,1.0,,1.0,,,,,1.0,,0.0,0.0,,1.0,,,,,,,,0.0,,1.0,,,0.0,,,,,1.0,,,
13,,,,,,,,,,0.0,,,,0.0,1.0,,,,,0.0,,0.0,,1.0,0.0,0.0,,,,0.0,,1.0,,,,0.0,,1.0,,1.0,1.0,,,,0.0,,,,,
14,,,1.0,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,,0.0,0.0,,,,,,0.0,1.0,0.0,,0.0,1.0,,1.0,,,,1.0,,,,,0.0,
15,,,,1.0,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,1.0,,,,1.0,,0.0,0.0,1.0,,,,0.0,,,1.0,,,0.0,,,,0.0,,,,
17,,1.0,,1.0,,,,,1.0,,1.0,,0.0,,,0.0,1.0,,,,,,0.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,1.0,,1.0,,,,,,,
18,,1.0,,1.0,,,0.0,1.0,1.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,1.0,,,1.0,0.0,,,,,,0.0,0.0,0.0
19,,1.0,,1.0,,,,1.0,1.0,,,,,,,0.0,1.0,,1.0,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,1.0,1.0,,0.0,,,,,0.0,,,
20,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,0.0,1.0,,1.0,0.0,,,1.0,1.0,,,,1.0,1.0,0.0,,,,0.0,
21,,,,1.0,1.0,1.0,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,0.0,,1.0,,,,0.0,,,,,1.0,,,,0.0,0.0,1.0,,,0.0,0.0,,
22,,,,1.0,,,,1.0,1.0,,,0.0,,1.0,,,1.0,,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,1.0,,1.0,,,,,,,0.0
23,0.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,0.0,,,1.0,,,0.0,,,0.0,0.0,0.0,,1.0,,0.0,,,,,0.0,,,,,,,,,,,,,,
24,,1.0,,,,1.0,0.0,1.0,,,1.0,,0.0,,,,,0.0,,,,,0.0,1.0,0.0,,,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,0.0,
25,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,,0.0,,,,,,1.0,,,,,,,,,0.0,1.0,0.0,,,,1.0,1.0,,,,1.0,,,1.0,,,
28,,,1.0,,,1.0,0.0,,1.0,0.0,,,0.0,,,,,,,,,,,1.0,,0.0,0.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,0.0,,,
29,,,,1.0,1.0,,,,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,,1.0,0.0,,,,,0.0,,,,,1.0,,0.0,,1.0,,,,,1.0,,0.0,,,,
30,,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,
31,,1.0,,,,1.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,1.0,,,,,,0.0,,,,0.0,,,1.0,,0.0,,,,1.0,,,1.0,,0.0,,,,,
32,0.0,,,1.0,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,1.0,,,,,,0.0,0.0,,,,,,,,,,,,1.0,,1.0,1.0,0.0,1.0,,,,,,,
