,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.17,,,,,,,0.0,,,,,,
1,,,,,,,,,,,,,,,,,,,,,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,0.5,,,,0.75,,0.75
2,,,,0.25,,0.0,,1.0,,,0.75,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,
3,,,,,,,,,,1.0,,0.0,,0.0,,,,,,0.25,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,0.75
4,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,0.75,,,,,,,1.0,,1.0,,,,,,,,,0.5,
6,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.25,,,,1.0,,,0.25,0.75,,,,,,,,,0.5,,,,,,,
7,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,0.75,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,0.25
8,,,0.0,0.75,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
10,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,1.0,,,,,,,0.0,1.0,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.0,,,,,,,,,,1.0,,,,0.75,,,,,,,,,,1.0,,1.0,,,,,,,0.0,,,,,,,,,,,
14,,,,,,,,1.0,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,,,,,,,,,,,0.75,,,,,,,,,0.75,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.5,,,,0.5,0.0,,
17,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,0.75,,,,,,,1.0,,,,,0.75,,1.0,
18,,,,0.25,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,0.75,,,0.5,,,,,
19,,,,,,,,,,,0.75,,0.75,,,,,0.25,,,,,,,,,,1.0,,,,,,,,,,,,,0.75,,,,,,,,,,,,,0.25,,,,,,,,,,,0.75,,,,,,,,,,
20,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.75,,,,,,1.0,,,,,,,,0.75,,,,,,,,,1.0,,,,,,,,,,,,0.5
21,,0.17,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.25,,,,,,,,,,,0.75,,,,,,,,,,,,,,,0.83,,,,,,,,0.75,,,,,
22,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.75,0.0,,,,,,0.0,,,,1.0,,,,,,,,,,,0.5,,,,,
23,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.75,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,
24,,,,,,,,,1.0,,,,,,,,0.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,1.0,,,,
28,,,,,,,,0.0,1.0,0.25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,
29,,,,0.75,,,,,,,,,,0.0,,,,,,,,0.75,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.75,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
30,,,,,,,,,1.0,,,,,,,,,0.75,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,0.75,,,,,,,,,,,0.25,,,,,,
31,0.17,,,,,,,,,,,0.0,,0.0,0.75,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
32,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,0.75,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.75,0.5,,,
33,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.75,0.75,,1.0,,,,,,,,,,,,,0.67,,,,,,,,,,,0.75,
34,,,0.0,,,,,0.25,,,,,,,,,,,,,1.0,0.75,,,,,,,,,0.25,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
35,,,,,,,0.33,,,,,,,,,,,1.0,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.0,,0.0,,,,,,,,0.0,,,,,,0.75
39,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,1.0,,,,,,
40,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,0.75,,,,,,,,,,,
41,0.0,,,,,,,0.25,,,,,,0.75,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
42,,,,,,,,,,0.75,,,,,,,,,0.75,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,
43,,,,1.0,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,
44,,,0.0,,,0.0,,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.75,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.75,0.25,,,,,,
47,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
48,,,,,,,1.0,,,,0.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
49,,,,,,0.75,,0.0,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.75,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,
50,,,,,,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.75,,,,,,,0.25,,1.0,,,,,,,,,,,,,0.75,,,,
51,,,,,,,,,,,,,,,,,,,,0.25,,1.0,,0.0,,,,,,,0.75,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
53,,,,1.0,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5
54,,,,,,,,,0.75,1.0,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.0,,0.75,,,,,,,
55,,,,,,0.0,,,1.0,,,,,0.0,,,,1.0,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
56,,0.0,,,,,,,,,,,,,1.0,,1.0,0.0,,,,,,,,,,,,,,,0.25,,1.0,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,0.33,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.75,
58,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
59,,,,,,,,,,1.0,,,,,,,,0.25,,,,0.75,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
60,0.83,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,0.5,,,,,,,
61,,,,0.75,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.25,,,,,,0.25,,1.0,,,,,,,,,0.5,,,,,,
62,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.83,,,,,,,0.5,,,0.5,,,0.5
63,,,,,,,,1.0,,,,0.25,,,,,,,,0.75,,,,,,,,,,,,,,0.0,,,,,,,0.25,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,0.75,,,
64,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,0.25,,0.25,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,
65,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.75,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
66,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,0.0,,
68,,,,,,0.0,,,,,,,,,,,,0.25,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.75,,,,0.0,,,,,,,,,,,,,,,,,,,
69,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.5,,0.5,,
70,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,0.25,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.25,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.75,,,,,,0.0,,
74,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,0.25,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.25,,,1.0,,,,,,,,
75,0.5,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,1.0,,0.0,,,,1.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.75,,,,,,,1.0,,,,
79,,,,,,,,,0.75,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.75,,,,,,,,,,,,,0.25,,,0.25,,,,,0.75,,,,,,0.83,,,,,,,,,,,,,
80,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.75,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.75,,
81,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
82,,,,,,,0.67,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,0.25,0.5,,,,,
83,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
84,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.25,,,,,1.0,,,,,,,,,,,0.0,0.75,0.0,,,,,,,,,,,0.75,,,,,,,
85,,0.17,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
86,0.83,,,,,,,,,,,,,,,0.75,,,,,,,,,,,0.75,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.75,,,0.0,,,,,,,,,,,,,,,,,,,
88,,,,,,,0.67,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,1.0,,,,0.75,,,,,,,,,,,,,,,,,,
89,,,,,,,,,0.75,,,,,,,,,,,,0.75,,,,,0.25,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
92,0.33,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,0.5,,,
