"","Discrimination D1","Discrimination D2","Difficulty"
"Vote 1",-2.05688485703832,-5.17683419492177,4.60528993378792
"Vote 2",-9.26208159623047,2.38498765748219,-4.62190236413613
"Vote 3",-3.9469650337639,-3.2313140997096,-4.05580513921162
"Vote 4",-7.85377538130348,-2.18073415929772,-1.50156122287754
"Vote 5",3.84341326202286,7.12980217702026,2.10156278641817
"Vote 6",-6.94419962153183,-3.6983616630509,-2.64160784118335
"Vote 7",5.2021881860362,4.66431890117545,3.82192028021085
"Vote 8",-4.30860703793015,1.97677560098083,7.18344981899984
"Vote 9",-5.56662454468006,1.56305589437613,-3.68060175414909
"Vote 10",5.73895092933447,-0.74727735301151,-2.19618802529136
"Vote 11",-6.00583224636991,3.92635495197961,5.88252828816664
"Vote 12",5.33290037519649,-3.53127537033532,6.40935744651207
"Vote 13",-0.76719792356052,-8.63736051036309,1.75407785855273
"Vote 14",-0.650070802210143,-6.82780893239971,2.52302703805016
"Vote 15",-2.275658494277,-6.25897211349058,-5.6292947292601
"Vote 16",7.08885204974666,4.04442356902078,-0.644611075900075
"Vote 17",-6.82115689060654,-0.694287261656155,-4.07386451947931
"Vote 18",8.77351583547293,-3.57326846897427,-1.31298655053056
"Vote 19",4.03448965174697,4.75803842347829,-4.33514356684086
"Vote 20",7.93991726935056,3.29808386803632,1.82769635243388
"Vote 21",-1.36236824950762,-7.35162924034789,-4.2523538233402
"Vote 22",5.07889107973472,-8.9300670353916,1.79010076768391
"Vote 23",3.8817644770533,-0.456067816040332,7.60287201594007
"Vote 24",-8.23859864514183,-0.869702632590835,-0.551703179794992
"Vote 25",-0.317057816887966,-5.55215496466353,3.57742296234419
"Vote 26",2.5365934408123,-9.70124864909467,0.213766176069844
"Vote 27",8.79673873489262,2.58769144612051,-0.509207137379122
"Vote 28",-2.63262911222839,7.51109731694757,-1.66256311093024
"Vote 29",-8.29595207415673,-1.03976454818171,-1.52737485131845
"Vote 30",4.86705644322635,5.1041647544451,6.22232443982653
"Vote 31",3.24240533374519,-6.81280209203697,-3.85909523719914
"Vote 32",3.40897618323809,5.15718261593159,-8.24565715869089
"Vote 33",4.76377118678776,5.21950075338537,3.97783980115262
"Vote 34",-6.49388192771515,3.10687949393218,5.20949904933734
"Vote 35",1.35266192805109,5.74392088719725,4.18088699756735
"Vote 36",-1.95631237751328,-6.28749389518734,6.55930826016753
"Vote 37",6.59797127186694,6.13638150689164,4.91991924945372
"Vote 38",-2.5603451161386,6.57886844392561,-2.88821995047883
"Vote 39",-8.90697923434744,-3.76231134161352,-1.17232479678069
"Vote 40",-5.9543781411509,5.08325349383477,1.08724853604561
"Vote 41",-9.13172017971547,-2.54557736648069,0.678859507866787
"Vote 42",1.30405212131475,-8.2675300389291,-0.447992920251447
"Vote 43",-7.62912129946296,-2.80374297472027,3.46727895021368
"Vote 44",-6.62980487179674,2.81778895096671,-3.24838698637638
"Vote 45",5.72449913584726,-5.49123209185643,-5.42102756558936
"Vote 46",3.00670478741475,-8.64034135733897,-0.434187355821804
"Vote 47",-7.0020865549349,-5.26753385125097,-0.231486703113703
"Vote 48",4.28709874119713,-8.26708887841463,-0.549658132248166
"Vote 49",-0.0796815368354434,-6.09240663914629,4.63369378507241
"Vote 50",8.06626425548123,3.45201283499089,-1.98492498285581
