,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,1.0,1.0,1.0,,0.67,0.33,0.67,1.0,0.33,0.67,,,0.33,0.67,,,0.0,,,,,,1.0,0.0,0.33,,1.0,,0.0,0.0,1.0,,,0.33,0.0,,1.0,,1.0,1.0,0.33,,,,0.0,0.67,0.0,,0.33
1,,,,1.0,0.67,1.0,,1.0,1.0,0.0,1.0,0.0,0.33,,,0.33,1.0,,0.67,0.33,0.33,,0.0,1.0,,0.0,0.33,1.0,1.0,,0.0,1.0,,1.0,,,0.33,,,1.0,1.0,,0.67,1.0,,,0.67,,0.0,
2,0.0,1.0,,,0.67,0.67,0.33,,,0.33,1.0,,0.33,0.33,0.67,0.33,1.0,,0.67,0.33,,0.0,0.0,,0.0,0.33,,,1.0,,,1.0,,,0.33,0.0,0.33,,,1.0,1.0,0.33,0.67,1.0,,,0.67,,0.0,
3,,,,,,1.0,,,1.0,0.33,,0.0,0.33,,,0.33,1.0,,0.67,,0.67,0.0,0.0,1.0,0.0,0.33,0.33,1.0,1.0,0.0,,1.0,,,0.33,0.0,0.33,,,0.67,,0.33,0.67,,0.0,0.0,,0.0,0.0,0.33
4,0.0,1.0,1.0,,,1.0,0.33,,1.0,0.33,1.0,,0.33,0.33,,,1.0,,0.67,,,,,1.0,0.0,0.33,,,,0.0,0.0,1.0,0.0,1.0,0.33,0.0,0.33,,1.0,1.0,1.0,0.33,,1.0,0.0,,0.67,,,
6,,,,1.0,0.67,1.0,0.0,0.67,1.0,,1.0,0.0,,,,0.33,,0.0,0.67,0.33,,0.0,0.0,,0.0,,,1.0,1.0,0.0,,1.0,0.0,1.0,0.33,,,1.0,1.0,,1.0,,0.67,1.0,,0.0,,0.0,0.0,
7,,,1.0,1.0,0.33,1.0,,,,,,0.0,,0.33,1.0,0.33,1.0,0.0,,0.33,,0.0,,,0.0,0.33,0.33,,,0.0,0.0,1.0,,,0.33,0.0,,,1.0,1.0,1.0,0.33,0.67,1.0,0.0,0.0,,0.0,0.0,
8,0.0,1.0,1.0,,0.67,,,0.67,1.0,0.33,1.0,,,,0.67,,1.0,,1.0,0.33,,0.0,0.0,1.0,0.0,,,,,0.0,,1.0,,1.0,0.33,0.0,0.33,1.0,1.0,,1.0,0.33,0.67,,0.0,0.0,,,0.0,
10,,1.0,,,0.67,,0.33,0.67,,0.33,,0.0,0.33,0.33,0.67,0.33,1.0,,0.67,,,,0.0,,0.0,0.33,0.33,,,0.0,0.0,1.0,,,0.33,,,1.0,1.0,1.0,1.0,,0.67,1.0,0.0,,0.67,0.0,0.0,
11,0.0,1.0,,1.0,0.33,,,,,,0.67,0.0,0.67,0.33,,,,,0.67,,0.67,,0.0,1.0,0.0,0.33,,1.0,1.0,,0.0,0.67,0.0,,0.0,0.0,,,1.0,,,0.33,1.0,,0.0,0.33,1.0,0.0,0.0,0.0
13,,,1.0,1.0,,,0.0,1.0,1.0,,1.0,0.0,,0.33,,,1.0,0.0,0.67,0.0,0.67,,,,0.0,0.33,,,,0.0,,0.67,,1.0,0.33,0.0,0.0,1.0,1.0,,1.0,,,1.0,0.0,,0.67,0.0,0.0,0.0
14,,,,1.0,,1.0,0.0,0.67,1.0,,0.67,0.0,,0.33,,0.33,1.0,,0.67,,0.67,0.0,,1.0,0.0,0.33,0.33,1.0,,0.0,0.0,1.0,0.0,1.0,,,0.33,,1.0,,,,0.67,1.0,,,,0.0,0.0,0.0
15,0.0,1.0,1.0,1.0,,,0.0,0.33,1.0,0.33,0.67,,,,1.0,0.33,1.0,,0.67,0.33,0.67,,0.0,1.0,,,0.33,,,0.0,,1.0,,1.0,0.33,,0.33,,,,,,0.67,1.0,0.0,0.0,0.67,,0.0,0.33
17,0.0,,,1.0,0.33,1.0,0.0,,1.0,0.0,1.0,,0.33,0.33,1.0,,1.0,,0.67,,0.67,,,,,0.33,,1.0,1.0,0.0,0.0,,0.0,1.0,0.33,0.0,0.33,,1.0,,1.0,,,1.0,0.0,0.0,0.67,,,
18,0.0,,,0.67,0.67,0.67,,,1.0,0.33,1.0,0.0,0.33,,0.67,0.67,1.0,0.0,1.0,,,0.0,,1.0,0.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,0.67,,0.33,1.0,0.0,0.0,0.33,0.0,0.0,0.33
19,0.0,1.0,1.0,1.0,0.67,0.67,,,1.0,0.33,1.0,0.0,,0.0,,,1.0,,,,0.33,,,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.33,,1.0,1.0,1.0,0.0,,1.0,0.0,,,0.0,0.0,
20,,1.0,1.0,1.0,0.33,,0.0,,,0.33,,0.0,0.67,0.33,1.0,0.33,1.0,,,0.33,,,,1.0,0.0,0.33,0.33,,,0.0,,,,0.67,,0.0,0.0,1.0,1.0,0.67,1.0,0.33,0.67,,,,0.67,0.0,,0.33
21,0.0,,,0.67,0.67,,,0.33,,0.33,,,0.33,0.0,0.67,0.67,1.0,0.0,,0.33,0.33,0.0,0.0,,0.0,0.33,,1.0,1.0,,0.0,1.0,0.0,1.0,,0.0,0.33,,,0.67,,0.0,,,,0.0,,0.0,0.0,
22,,1.0,,1.0,,1.0,0.0,0.67,1.0,0.0,0.67,0.0,,0.67,1.0,0.0,,0.0,,0.0,0.67,0.0,0.0,1.0,0.0,0.33,0.0,1.0,1.0,,0.33,,,,,0.0,0.0,1.0,1.0,,1.0,,1.0,,,,,,,
23,,1.0,1.0,1.0,,,0.0,,,0.0,1.0,,0.67,0.33,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.33,0.0,1.0,,,0.0,0.67,,,0.33,,0.0,,1.0,,,0.33,1.0,1.0,0.0,0.0,1.0,0.0,,0.0
24,0.0,1.0,,1.0,0.33,1.0,,0.67,1.0,,,0.0,,0.33,,0.0,,,,,0.67,0.0,,,,,,1.0,1.0,,0.0,0.67,,1.0,0.33,,0.0,,1.0,1.0,1.0,0.33,,1.0,0.0,0.0,0.67,0.0,0.0,0.0
25,0.0,1.0,1.0,,,1.0,,0.67,,,,0.0,,,1.0,,1.0,0.0,,0.33,,0.0,,1.0,0.0,,,,1.0,0.0,0.0,0.67,0.0,1.0,,0.0,0.0,1.0,1.0,0.67,1.0,0.33,,1.0,0.0,,1.0,,0.0,
28,,1.0,,,0.67,,0.33,,1.0,0.33,1.0,,,,0.67,,1.0,,1.0,0.33,,0.0,,1.0,,0.0,0.33,1.0,,0.0,,1.0,0.0,,0.67,0.0,0.33,,,1.0,,0.0,,1.0,0.0,0.0,0.33,0.0,0.0,0.33
29,0.0,1.0,1.0,0.67,,,0.33,0.33,1.0,,,0.0,0.33,,,0.33,1.0,,1.0,0.33,,,,,0.0,,,,,0.0,0.0,1.0,0.0,,0.67,,0.33,1.0,,1.0,0.67,0.0,0.33,1.0,0.0,,0.33,0.0,,0.33
30,0.0,1.0,1.0,,,,,,1.0,0.33,,0.0,0.67,,1.0,0.0,1.0,0.0,0.67,0.33,0.67,0.0,,1.0,0.0,0.33,0.33,,,,0.33,0.67,0.0,,0.0,0.0,,1.0,,,,0.33,,1.0,0.0,,,0.0,,0.0
31,,1.0,1.0,0.67,,0.67,0.33,,,,,0.0,0.33,,,0.33,,0.0,0.67,0.33,0.67,0.0,0.0,1.0,0.0,,0.33,,1.0,,,,0.0,0.67,0.33,,,,0.67,,0.67,0.33,0.67,,0.0,,0.67,0.0,0.0,0.33
32,,1.0,,0.67,,0.67,0.33,0.33,,,0.67,,,,,0.33,1.0,0.0,,0.33,,,0.0,1.0,,0.33,,,1.0,0.0,0.0,1.0,0.0,,0.33,0.0,0.33,1.0,1.0,0.67,,0.33,,1.0,0.0,0.0,,0.0,0.0,
33,,1.0,,,,,0.33,,1.0,0.33,0.67,0.0,0.33,,1.0,0.33,,0.0,,0.33,0.67,0.0,0.0,1.0,0.0,0.33,0.33,,1.0,0.0,0.0,1.0,0.0,,0.33,,0.33,,,,1.0,,,1.0,,0.0,,0.0,,0.33
