,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,,1.0,,,0.67,0.33,0.67,1.0,,,,,0.33,,,,,,,0.33,,,1.0,,,,1.0,,,,,,,,0.0,,,1.0,,,0.33,,1.0,,0.0,,0.0,,
1,,,,,,1.0,0.0,,,,1.0,0.0,0.33,0.0,,,,,,,,,,,,,,1.0,,,,1.0,0.0,,,,,,,,,0.0,0.67,,0.0,0.0,,,0.0,0.0
2,,,,,,,,,1.0,,,,0.33,,,,,0.0,0.67,,0.33,,0.0,1.0,,0.33,,,,0.0,,,,,,0.0,0.33,1.0,1.0,,,,,1.0,,,,0.0,,
3,,,1.0,,0.33,,,0.33,,,0.67,,0.33,,,0.33,,0.0,,,,,,,0.0,,,,,,,1.0,,,,0.0,0.33,1.0,1.0,0.67,1.0,,,,,,,,,
4,,,,,,1.0,0.33,0.67,,,1.0,,,0.33,0.67,,,,,0.33,,0.0,,,,,,1.0,,,,,,,0.33,,,1.0,,1.0,,,,,,,0.67,0.0,,0.0
6,,1.0,1.0,,0.67,,,,1.0,,1.0,,,0.33,,,,0.0,,,,,,,,0.33,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,0.0,,0.67,0.0,,
7,0.0,,1.0,,,,,0.67,,,,,,,1.0,0.33,,,,,,,,,,0.33,0.33,,,0.0,,1.0,,,,,0.33,1.0,,,,0.33,,,,0.0,0.67,,,0.0
8,,1.0,1.0,,0.67,,,0.67,1.0,,,,,0.33,,,,,1.0,0.33,,0.0,,,0.0,,,,,,0.0,,,,,,,,,1.0,1.0,0.33,,,,,,,0.0,
10,,1.0,1.0,,,0.67,,,,0.33,,,,,,0.33,1.0,0.0,,,,,,,0.0,,,1.0,,0.0,,,0.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,
11,,,1.0,1.0,,,,0.67,,,0.67,0.0,,,,,1.0,,0.67,,,,,1.0,,0.33,0.0,,1.0,,,,,,,,0.0,,1.0,,,0.33,,,,,1.0,,,
13,,,,,,,,,,0.0,,,,0.33,1.0,,,,,0.0,,0.0,,1.0,0.0,0.33,,,,0.0,,0.67,,,,0.0,,1.0,,1.0,1.0,,,,0.0,,,,,
14,,,1.0,,0.33,,,,,,,,,0.33,,,,,,,,,0.0,1.0,,0.33,0.33,,,,,,0.0,1.0,0.33,,0.33,1.0,,0.67,,,,1.0,,,,,0.0,
15,,,,1.0,,,,,,0.33,,0.0,,,,,,0.0,,0.33,,,0.0,1.0,,,,1.0,,0.0,0.0,1.0,,,,0.0,,,1.0,,,0.33,,,,0.0,,,,
17,,1.0,,1.0,,,,,1.0,,1.0,,0.33,,,0.33,1.0,,,,,,0.0,1.0,0.0,,0.33,,,0.0,,,0.0,,,,,,,,1.0,,0.67,,,,,,,
18,,1.0,,0.67,,,0.33,0.67,1.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,1.0,,,0.67,0.0,,,,,,0.0,0.0,0.33
19,,1.0,,1.0,,,,0.67,1.0,,,,,,,0.33,1.0,,1.0,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,1.0,1.0,,0.0,,,,,0.33,,,
20,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,0.33,1.0,,0.67,0.0,,,1.0,1.0,,,,0.67,1.0,0.0,,,,0.0,
21,,,,0.67,0.67,0.67,,,,,,,,0.0,0.67,,,,,,,0.0,,,,,0.33,,1.0,,,,0.0,,,,,1.0,,,,0.0,0.33,1.0,,,0.33,0.0,,
22,,,,1.0,,,,0.67,1.0,,,0.0,,0.67,,,1.0,,,,0.67,,0.0,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,1.0,,1.0,,,,,,,0.0
23,0.0,1.0,1.0,,,,,1.0,,,1.0,,0.67,,,0.0,,,0.67,,,0.0,,,0.0,0.33,0.0,,1.0,,0.0,,,,,0.0,,,,,,,,,,,,,,
24,,1.0,,,,1.0,0.0,0.67,,,1.0,,0.33,,,,,0.0,,,,,0.0,1.0,0.0,,,,,0.0,0.0,0.67,,,0.33,,,,,,,,,,,,,,0.0,
25,,,,1.0,,1.0,,0.67,,,0.67,,0.67,,1.0,,,0.0,,,,,,1.0,,,,,,,,,0.0,1.0,0.0,,,,1.0,0.67,,,,1.0,,,1.0,,,
28,,,1.0,,,0.67,0.33,,1.0,0.33,,,0.33,,,,,,,,,,,1.0,,0.0,0.33,,,,,1.0,,1.0,0.67,,,,,,1.0,,,1.0,,,0.33,,,
29,,,,0.67,0.67,,,,,0.33,,0.0,,0.0,,,,0.0,,,0.33,,,1.0,0.0,,,,,0.0,,,,,0.67,,0.33,,1.0,,,,,1.0,,0.0,,,,
30,,,,1.0,0.33,,,,1.0,0.33,0.67,,,,,,,,,,,0.0,0.0,,,,0.33,,,0.0,,,0.0,,0.0,0.0,,,,,,0.33,,,0.0,,,,0.0,
31,,1.0,,,,0.67,,0.33,,0.33,,0.0,,,,0.33,,0.0,,,0.67,,,,,,0.33,,,,0.33,,,0.67,,0.0,,,,0.67,,,0.67,,0.0,,,,,
32,0.0,,,0.67,0.67,,0.33,0.33,,,,,0.33,0.33,,,,,1.0,,,,,,0.0,0.33,,,,,,,,,,,,1.0,,0.67,1.0,0.33,0.67,,,,,,,
33,0.0,,1.0,1.0,0.67,,0.33,,,,0.67,,0.33,,,0.33,,,,,0.67,,,,0.0,,,1.0,,,,,0.0,,,,,,,,,,0.67,,0.0,,,,,0.33
34,,,,1.0,,,,,,,0.67,0.0,0.67,,,,1.0,,,,,,0.0,,,0.33,,1.0,,,0.0,,,,0.0,,,,1.0,,,0.33,,,0.0,0.33,1.0,,,
35,0.0,,,,,,0.0,0.67,,,,0.0,,0.33,,,,,,,,,0.0,,,0.33,,,,,0.0,1.0,0.0,,0.33,,,,,,,,0.67,1.0,,0.0,,0.0,,
36,,,,,0.67,,,,,,,,,0.33,,0.33,,0.0,0.67,,,0.0,,,0.0,,,1.0,,,0.0,,,,0.33,0.0,0.33,,,1.0,,,,,,,,,0.0,0.0
39,0.0,,,,,,0.0,,,,0.67,,0.67,,1.0,,,,,,,,,,,,0.33,1.0,1.0,,0.33,,0.0,,,0.0,,,,,,0.33,,,,0.33,,0.0,0.0,
40,,,,,,,,,1.0,,,,,0.33,0.67,,,,,,,0.0,,1.0,0.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,0.67,1.0,,0.0,,0.0,,
41,,,,,,1.0,,,,0.0,,0.0,0.67,,1.0,0.0,1.0,,,,,,0.0,,,0.33,,,,,,0.67,,1.0,0.33,,0.0,,1.0,,,,,,,,,,,0.0
42,0.0,,,,,,,,,,0.67,,,0.33,,0.0,1.0,,0.67,0.0,0.67,0.0,,,0.0,,,,,,0.0,0.67,,1.0,,,,1.0,,,,,,,,,,,0.0,
43,,,1.0,,,,,,,,1.0,,,0.0,0.67,,1.0,0.0,1.0,,,0.0,,,,,,,,,0.0,,0.0,1.0,0.67,0.0,,,,,,0.0,,,,0.0,,,,
44,,1.0,,,0.67,,0.33,,,,,,0.33,0.33,,,,,1.0,0.33,,,,,,0.33,,,,0.0,,1.0,,,,0.0,,,,0.67,,,0.67,,0.0,,,,0.0,
46,,,,,,0.67,0.33,,,,0.67,,,0.0,0.67,,,,1.0,0.33,0.33,,,,,,0.33,,,,0.0,,,1.0,0.67,0.0,,,,,,0.0,,,,,,,0.0,
47,,1.0,,,0.67,,,,,0.33,0.67,,,,,0.33,1.0,,,0.33,,0.0,,,,,,1.0,,0.0,,,0.0,,,,,,,,,0.33,0.67,,,,,0.0,0.0,
48,,,,,,1.0,0.0,,1.0,,0.67,0.0,,,1.0,,,,,,0.67,0.0,,,,,,,,,,0.67,0.0,,,,,1.0,,,,0.33,0.67,,,0.0,,0.0,,
49,,1.0,1.0,,,,,,1.0,0.33,0.67,,,,,0.33,,,1.0,0.33,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,0.67,1.0,,0.0,,,0.0,
50,,0.67,1.0,0.67,,0.67,,,,,,,,0.33,,,,,,,0.33,,,,,,,,1.0,0.0,0.33,,,,,0.0,,1.0,0.67,,0.67,0.33,,,,,,,,0.33
51,,,1.0,1.0,,1.0,,,,,1.0,,0.33,,,,,,0.67,,,,0.0,1.0,,,,,1.0,0.0,,,,,,,,,,,,0.33,,1.0,0.0,,,0.0,0.0,
53,,1.0,,,,0.67,0.33,,,,,0.0,0.33,,0.67,,,,,,,0.0,,1.0,,,,,,,,,0.0,,0.33,,0.33,,,,,0.33,,,,0.0,,0.0,,0.33
54,,,,,,1.0,0.0,,1.0,,,,,,,,1.0,0.0,,0.0,,,,,,,0.33,,,,0.0,,,1.0,,0.0,,,1.0,,,0.33,1.0,,0.0,,,,,0.0
55,,1.0,1.0,,0.33,,0.0,,,,,,,0.33,1.0,,,,,0.33,,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,,1.0,,,,,,0.33,0.33,,,,
56,,1.0,1.0,1.0,0.33,,0.0,,1.0,,,,,,,,1.0,,,,,,,,0.0,0.33,,,,0.0,,,,,,,,1.0,1.0,,,0.33,1.0,,,,,,0.0,
57,,,,,,,,,,,0.67,,0.33,0.33,,,1.0,0.0,,,0.33,0.0,,,0.0,0.33,,1.0,,0.0,,,,,,0.0,,,,,,0.33,0.67,,,0.0,,,,
58,0.0,,,,0.67,0.67,,,,,,,,0.33,0.67,,,,,0.33,,0.0,,,0.0,,,,,0.0,,1.0,,,,,,1.0,,0.67,,,,,,0.0,0.33,,0.0,
59,,1.0,,0.67,0.67,,0.33,,,,,,,,,,,,,,,,0.0,1.0,,0.33,,1.0,,,,,0.0,,,0.0,,,1.0,,,0.33,0.67,,,,,,0.0,0.33
60,,,,,1.0,,,,,,,0.0,0.0,0.0,,1.0,,0.33,1.0,,,,0.0,0.0,,0.33,,,,,,,,,,0.0,1.0,,0.33,,,,,,,,0.0,0.0,,
61,,,,,,,,,,1.0,,0.33,0.0,,0.33,,,,,,,0.0,,,,,1.0,1.0,,,,,,0.0,,,1.0,1.0,,,0.0,0.0,,0.33,0.67,,,,0.0,
62,,,,,1.0,,,,0.33,,0.33,,0.0,,,,0.33,,,,,,0.0,,,0.33,,1.0,,,,,,,,,,1.0,,,,0.0,0.0,0.33,0.67,0.0,0.0,,,
63,,,0.0,,,0.0,,,,1.0,,,,,,,0.33,0.67,1.0,,0.33,,,,,,,1.0,0.0,,,1.0,1.0,,,0.0,,,,,,0.0,,0.67,0.67,,,,,
64,,,,0.0,1.0,,0.67,0.0,,,,0.0,,,,,0.67,,,0.67,,,,,,,0.67,,0.0,,,,,0.0,,0.0,0.67,,,,,,,,0.33,,,0.0,,0.67
