"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D","beta","weight1D","weight2D"
"1",15,0,1,55,0.931813061237335,0.9375,-0.628345608711243,0.650616765022278,0.137737244367599,-0.525643348693848,14.7704238891602,1.01816534996033,0.590208888053894
"2",56,1,0,16,0.930504977703094,0.941176470588235,-0.187041342258453,-0.866984903812408,-0.347876220941544,-0.306463301181793,14.7704238891602,1.01816534996033,0.590208888053894
"3",54,1,1,12,0.95399010181427,0.846153846153846,-0.968415677547455,-0.00203297310508788,-0.323786199092865,-0.146192267537117,14.7704238891602,1.01816534996033,0.590208888053894
"4",39,0,1,40,0.94835364818573,0.975,-0.96115243434906,-0.544547319412231,-0.042711652815342,-0.142871454358101,14.7704238891602,1.01816534996033,0.590208888053894
"5",39,6,3,36,0.808113157749176,0.785714285714286,0.29072105884552,-0.314785182476044,-0.0597536824643612,0.128777697682381,14.7704238891602,1.01816534996033,0.590208888053894
"6",46,2,0,24,0.890050649642944,0.923076923076923,-0.98558908700943,-0.289747804403305,-0.139670610427856,-0.162801519036293,14.7704238891602,1.01816534996033,0.590208888053894
"7",18,0,0,52,0.968459784984589,1,0.971025228500366,-0.143637791275978,-0.326170265674591,-0.349114954471588,14.7704238891602,1.01816534996033,0.590208888053894
"8",12,0,0,59,0.930996060371399,1,-0.113458462059498,-1.53413105010986,0.631815195083618,0.641508936882019,14.7704238891602,1.01816534996033,0.590208888053894
"9",46,0,0,15,0.939353942871094,1,-0.319409877061844,-0.633346498012543,-0.268966943025589,-0.13631235063076,14.7704238891602,1.01816534996033,0.590208888053894
"10",50,1,0,20,0.919178009033203,0.952380952380952,0.387312233448029,0.520391941070557,0.129100918769836,0.104302152991295,14.7704238891602,1.01816534996033,0.590208888053894
"11",23,0,1,58,0.934155225753784,0.958333333333333,-0.0650118514895439,-1.64598751068115,0.492992848157883,0.508179008960724,14.7704238891602,1.01816534996033,0.590208888053894
"12",14,0,0,63,0.91817170381546,1,0.101788140833378,1.46840345859528,-0.785923838615417,-0.583236873149872,14.7704238891602,1.01816534996033,0.590208888053894
"13",31,0,4,53,0.796932458877563,0.885714285714286,-0.263872712850571,0.287563651800156,0.00535835465416312,-0.0564806051552296,14.7704238891602,1.01816534996033,0.590208888053894
"14",24,1,2,59,0.905603110790253,0.884615384615385,-0.293940812349319,0.447361975908279,0.118910036981106,-0.0811355486512184,14.7704238891602,1.01816534996033,0.590208888053894
"15",61,0,0,16,0.977811217308044,1,-0.955658674240112,0.472802370786667,-0.343749433755875,0.357019782066345,14.7704238891602,1.01816534996033,0.590208888053894
"16",31,1,2,31,0.904754340648651,0.90625,0.968023777008057,0.337697923183441,-0.00252192676998675,-0.0658971965312958,14.7704238891602,1.01816534996033,0.590208888053894
"17",52,1,0,21,0.879976987838745,0.954545454545455,-0.268570750951767,-0.446595788002014,-0.246477454900742,-0.129296332597733,14.7704238891602,1.01816534996033,0.590208888053894
"18",31,3,2,25,0.848509669303894,0.821428571428571,0.0859603211283684,0.845239400863647,0.038239985704422,0.0295315198600292,14.7704238891602,1.01816534996033,0.590208888053894
"19",61,0,0,10,0.983554542064667,1,0.95765346288681,-0.339211761951447,0.220427811145782,-0.554087996482849,14.7704238891602,1.01816534996033,0.590208888053894
"20",32,0,0,25,0.944307267665863,1,0.986605942249298,0.674281239509583,-0.0344135873019695,0.02330057695508,14.7704238891602,1.01816534996033,0.590208888053894
"21",39,1,3,22,0.850616037845612,0.826086956521739,-0.214265793561935,0.442283570766449,-0.271853595972061,0.233979314565659,14.7704238891602,1.01816534996033,0.590208888053894
"22",38,2,2,41,0.899587273597717,0.9,-0.0933080017566681,1.30934309959412,0.0311604049056768,-0.138530641794205,14.7704238891602,1.01816534996033,0.590208888053894
"23",2,0,0,74,0.995660960674286,1,0.962949275970459,0.952830493450165,-0.564604580402374,-0.66140353679657,14.7704238891602,1.01816534996033,0.590208888053894
"24",36,0,0,41,0.952291429042816,1,-0.967229723930359,-0.815228343009949,-0.0003809969057329,0.122764647006989,14.7704238891602,1.01816534996033,0.590208888053894
"25",17,0,1,54,0.916861116886139,0.944444444444444,-0.226625397801399,0.736861050128937,0.312755107879639,-0.393152713775635,14.7704238891602,1.01816534996033,0.590208888053894
"26",30,1,1,33,0.925415515899658,0.935483870967742,-0.0884572416543961,0.995132148265839,0.0305577572435141,-0.0270381234586239,14.7704238891602,1.01816534996033,0.590208888053894
"27",36,0,1,32,0.927782356739044,0.96875,0.965362071990967,0.451605826616287,-0.00546288769692183,-0.0519567467272282,14.7704238891602,1.01816534996033,0.590208888053894
"28",39,1,0,30,0.916541874408722,0.967741935483871,0.0599391423165798,-1.56800758838654,0.274202197790146,-0.151769503951073,14.7704238891602,1.01816534996033,0.590208888053894
"29",41,0,0,30,0.935865163803101,1,-0.992257714271545,-0.141277134418488,-0.141383096575737,-0.187784612178802,14.7704238891602,1.01816534996033,0.590208888053894
"30",15,0,1,58,0.951127588748932,0.9375,0.968993961811066,-0.153922349214554,-0.3034608066082,0.239672318100929,14.7704238891602,1.01816534996033,0.590208888053894
"31",45,1,0,27,0.934908032417297,0.964285714285714,-0.0754211694002151,1.47522366046906,-0.322153657674789,0.301302641630173,14.7704238891602,1.01816534996033,0.590208888053894
"32",63,0,0,12,0.986161649227142,1,0.957995355129242,-0.537359535694122,0.276877760887146,-0.495168477296829,14.7704238891602,1.01816534996033,0.590208888053894
"33",16,0,0,51,0.93469762802124,1,0.973133206367493,-0.236803457140923,-0.252688735723495,0.0976565480232239,14.7704238891602,1.01816534996033,0.590208888053894
"34",12,0,0,50,0.968760192394257,1,-0.0895267874002457,-1.55938076972961,0.0344168543815613,0.599476277828217,14.7704238891602,1.01816534996033,0.590208888053894
"35",13,0,0,51,0.857192635536194,1,0.236441522836685,-0.43239551782608,-0.348578244447708,0.363994270563126,14.7704238891602,1.01816534996033,0.590208888053894
"36",11,0,0,64,0.983763098716736,1,-0.990001380443573,1.19354569911957,0.27811998128891,-0.355154305696487,14.7704238891602,1.01816534996033,0.590208888053894
"37",19,0,0,50,0.948419570922852,1,0.96845805644989,-0.256298005580902,-0.20514290034771,0.107298910617828,14.7704238891602,1.01816534996033,0.590208888053894
"38",46,1,1,27,0.910894155502319,0.928571428571429,0.0581354573369026,-1.69112455844879,0.44477915763855,-0.18792387843132,14.7704238891602,1.01816534996033,0.590208888053894
"39",43,0,0,30,0.952734708786011,1,-0.737867474555969,-0.66199254989624,-0.0738842636346817,-0.0913128852844238,14.7704238891602,1.01816534996033,0.590208888053894
"40",33,0,2,38,0.896654784679413,0.942857142857143,-0.0166297722607851,-1.61986768245697,0.13472992181778,-0.0137636968865991,14.7704238891602,1.01816534996033,0.590208888053894
"41",30,1,0,28,0.933868408203125,0.96551724137931,-0.965490162372589,-0.566358864307404,-0.0352788828313351,0.19947861135006,14.7704238891602,1.01816534996033,0.590208888053894
"42",28,2,3,47,0.86064738035202,0.838709677419355,-0.105927400290966,0.886491060256958,0.187109112739563,-0.00935409124940634,14.7704238891602,1.01816534996033,0.590208888053894
"43",32,1,0,52,0.926934897899628,0.96875,-0.976652801036835,-0.746236026287079,0.0432004369795322,0.431835740804672,14.7704238891602,1.01816534996033,0.590208888053894
"44",44,2,0,22,0.864499270915985,0.916666666666667,-0.150530382990837,-0.66903954744339,-0.218780502676964,-0.125460177659988,14.7704238891602,1.01816534996033,0.590208888053894
"45",43,1,0,23,0.923470377922058,0.958333333333333,-0.0527575463056564,1.74620962142944,-0.562148571014404,0.32881698012352,14.7704238891602,1.01816534996033,0.590208888053894
"46",39,1,0,27,0.93192583322525,0.964285714285714,-0.0678911656141281,1.57765877246857,-0.192116186022758,0.151796460151672,14.7704238891602,1.01816534996033,0.590208888053894
"47",36,0,0,31,0.859525084495544,1,-0.992243707180023,0.156812489032745,0.0101698050275445,0.0674406290054321,14.7704238891602,1.01816534996033,0.590208888053894
"48",44,0,0,37,0.95141327381134,1,-0.0920289382338524,1.66067731380463,-0.137951165437698,0.0824988335371017,14.7704238891602,1.01816534996033,0.590208888053894
"49",18,0,0,56,0.928504347801208,1,-0.221204519271851,0.734108626842499,0.292326837778091,-0.338579475879669,14.7704238891602,1.01816534996033,0.590208888053894
"50",31,0,0,34,0.962432682514191,1,0.971023619174957,0.822876572608948,-0.0222468171268702,-0.122968249022961,14.7704238891602,1.01816534996033,0.590208888053894
