"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1",0,18,0,0,17,0.982453942298889,1,0.271411120891571,0.96246349811554,0,0,0
"Legislator 2",0,17,0,0,18,0.978198230266571,1,0.252077370882034,0.967707097530365,0,0,0
"Legislator 3",0,16,0,0,19,0.952462494373322,1,0.30545112490654,0.952207803726196,0,0,0
"Legislator 4",0,16,0,0,19,0.941925704479218,1,0.218482062220573,0.672658085823059,0,0,0
"Legislator 5",0,16,0,0,19,0.955704271793365,1,0.295645892620087,0.741441011428833,0,0,0
"Legislator 6",0,15,0,0,20,0.957452118396759,1,0.314562618732452,0.949236750602722,0,0,0
"Legislator 7",0,13,1,1,20,0.92136025428772,0.942857142857143,0.296859890222549,0.864450395107269,0,0,0
"Legislator 8",0,12,1,0,22,0.939872860908508,0.971428571428571,0.198316127061844,0.980138063430786,0,0,0
"Legislator 9",0,16,0,0,19,0.957755863666534,1,0.292785614728928,0.95617812871933,0,0,0
"Legislator 10",0,16,1,1,17,0.904864490032196,0.942857142857143,0.332253843545914,0.862736701965332,0,0,0
"Legislator 11",0,16,1,1,17,0.927731812000275,0.942857142857143,0.340704172849655,0.889525234699249,0,0,0
"Legislator 12",0,14,1,0,20,0.962198615074158,0.971428571428571,0.326537042856216,0.857784032821655,0,0,0
"Legislator 13",0,16,0,0,19,0.952340006828308,1,0.276064336299896,0.645245254039764,0,0,0
"Legislator 14",0,15,0,0,20,0.936821460723877,1,0.257719844579697,0.659441530704498,0,0,0
"Legislator 15",0,18,0,0,17,0.959051191806793,1,0.0144819905981421,0.99989515542984,0,0,0
"Legislator 16",0,14,1,0,20,0.938438832759857,0.971428571428571,0.195432424545288,0.980717122554779,0,0,0
"Legislator 17",0,15,1,0,19,0.969377040863037,0.971428571428571,0.343752890825272,0.715151250362396,0,0,0
"Legislator 18",0,13,0,1,21,0.910558521747589,0.971428571428571,0.0548627264797688,0.701935291290283,0,0,0
"Legislator 19",0,14,1,3,17,0.787723302841187,0.885714285714286,0.475636065006256,0.677981615066528,0,0,0
"Legislator 20",0,15,1,1,18,0.907402873039246,0.942857142857143,0.34413805603981,0.873688042163849,0,0,0
"Legislator 21",0,17,1,0,17,0.966716885566711,0.971428571428571,0.299229621887207,0.876423597335815,0,0,0
"Legislator 22",0,17,1,2,15,0.885967314243317,0.914285714285714,0.318055719137192,0.820207297801971,0,0,0
"Legislator 23",0,15,1,0,19,0.962920367717743,0.971428571428571,0.186336323618889,0.982486009597778,0,0,0
"Legislator 24",0,14,0,1,20,0.915414214134216,0.971428571428571,0.0582330599427223,0.998303115367889,0,0,0
"Legislator 25",0,13,0,1,21,0.911360383033752,0.971428571428571,0.310306161642075,0.60160893201828,0,0,0
"Legislator 26",0,15,0,1,19,0.95934921503067,0.971428571428571,0.300355851650238,0.825229227542877,0,0,0
"Legislator 27",0,14,1,0,20,0.948976457118988,0.971428571428571,0.205494478344917,0.978658258914948,0,0,0
"Legislator 28",0,16,0,1,18,0.930903315544128,0.971428571428571,0.369065850973129,0.929403305053711,0,0,0
"Legislator 29",0,17,0,2,16,0.902183353900909,0.942857142857143,0.333032965660095,0.859063863754272,0,0,0
"Legislator 30",0,17,1,1,16,0.924423038959503,0.942857142857143,0.296653240919113,0.887240171432495,0,0,0
"Legislator 31",0,15,0,0,20,0.961027681827545,1,0.321518510580063,0.946903228759766,0,0,0
"Legislator 32",0,18,0,1,16,0.9123375415802,0.971428571428571,0.338065266609192,0.672617197036743,0,0,0
"Legislator 33",0,16,0,0,19,0.947274148464203,1,0.313542723655701,0.949574053287506,0,0,0
"Legislator 34",0,12,0,1,22,0.91109561920166,0.971428571428571,0.314947247505188,0.625709414482117,0,0,0
"Legislator 35",0,15,0,1,19,0.938190758228302,0.971428571428571,0.431620746850967,0.902055144309998,0,0,0
"Legislator 36",0,17,0,1,17,0.968330562114716,0.971428571428571,0.130961164832115,0.991387486457825,0,0,0
"Legislator 37",0,13,1,0,21,0.921100795269012,0.971428571428571,0.108293041586876,0.767599761486053,0,0,0
"Legislator 38",0,12,0,1,22,0.944554626941681,0.971428571428571,0.0256843641400337,0.999670147895813,0,0,0
"Legislator 39",0,16,0,1,18,0.93605387210846,0.971428571428571,0.251987457275391,0.814794063568115,0,0,0
"Legislator 40",0,15,0,0,20,0.956793308258057,1,0.410213083028793,0.911989688873291,0,0,0
"Legislator 41",0,17,1,0,17,0.96059650182724,0.971428571428571,0.291559517383575,0.729944705963135,0,0,0
"Legislator 42",0,18,2,0,15,0.925932705402374,0.942857142857143,0.149834617972374,0.748792469501495,0,0,0
"Legislator 43",0,16,0,0,19,0.975329101085663,1,0.370452612638474,0.928851366043091,0,0,0
"Legislator 44",0,18,0,1,16,0.933195054531097,0.971428571428571,0.0890087559819221,0.996030926704407,0,0,0
"Legislator 45",0,20,0,0,15,0.95683342218399,1,0.324520885944366,0.718797504901886,0,0,0
"Legislator 46",0,17,0,1,17,0.938542127609253,0.971428571428571,0.337196320295334,0.713513135910034,0,0,0
"Legislator 47",0,16,1,1,17,0.936952829360962,0.942857142857143,0.310205638408661,0.914681375026703,0,0,0
"Legislator 48",0,15,1,0,19,0.92627215385437,0.971428571428571,0.23884043097496,0.788938939571381,0,0,0
"Legislator 49",0,14,2,0,19,0.920604109764099,0.942857142857143,0.224747881293297,0.774319529533386,0,0,0
"Legislator 50",0,12,1,0,22,0.948929786682129,0.971428571428571,0.20646870136261,0.97845321893692,0,0,0
"Legislator 51",1,13,0,0,22,0.969885349273682,1,-0.830297946929932,0.557319760322571,0,0,0
"Legislator 52",1,13,1,0,21,0.864520311355591,0.971428571428571,-0.998452484607697,0.0556117594242096,0,0,0
"Legislator 53",1,16,1,0,18,0.899709045886993,0.971428571428571,-0.992097616195679,0.0731665566563606,0,0,0
"Legislator 54",1,11,2,0,22,0.870439350605011,0.942857142857143,-0.926454126834869,0.262795388698578,0,0,0
"Legislator 55",1,14,0,1,20,0.923920512199402,0.971428571428571,-0.819712460041046,0.484326899051666,0,0,0
"Legislator 56",1,12,1,2,20,0.872543275356293,0.914285714285714,-0.665333092212677,0.359914809465408,0,0,0
"Legislator 57",1,14,0,1,20,0.934621512889862,0.971428571428571,-0.876922726631165,0.37492448091507,0,0,0
"Legislator 58",1,17,0,0,18,0.950765013694763,1,-0.732422947883606,0.68084990978241,0,0,0
"Legislator 59",1,14,4,0,17,0.846668660640717,0.885714285714286,-0.989463090896606,0.144785389304161,0,0,0
"Legislator 60",1,15,0,1,19,0.93609619140625,0.971428571428571,-0.851394474506378,0.326098263263702,0,0,0
"Legislator 61",1,11,0,0,24,0.899551033973694,1,-0.927971243858337,0.0383959636092186,0,0,0
"Legislator 62",1,16,0,1,18,0.893574237823486,0.971428571428571,-0.624288082122803,0.690665423870087,0,0,0
"Legislator 63",1,15,0,0,20,0.975475311279297,1,-0.866196632385254,0.499703139066696,0,0,0
"Legislator 64",1,17,0,0,18,0.93798816204071,1,-0.51217645406723,0.85888022184372,0,0,0
"Legislator 65",1,14,0,0,21,0.939895868301392,1,-0.789313793182373,0.613989889621735,0,0,0
"Legislator 66",1,11,1,0,23,0.911765038967133,0.971428571428571,-0.907912194728851,0.0795334279537201,0,0,0
"Legislator 67",1,13,0,1,21,0.914484202861786,0.971428571428571,-0.763289749622345,0.368208557367325,0,0,0
"Legislator 68",1,12,0,2,21,0.90882021188736,0.942857142857143,-0.784826397895813,0.369564473628998,0,0,0
"Legislator 69",1,13,0,0,22,0.95643961429596,1,-0.832699060440063,0.553725779056549,0,0,0
"Legislator 70",1,15,0,1,19,0.907658338546753,0.971428571428571,-0.870084822177887,0.212403684854507,0,0,0
"Legislator 71",1,15,0,2,18,0.901959419250488,0.942857142857143,-0.724311292171478,0.417033672332764,0,0,0
"Legislator 72",1,15,1,0,19,0.874427556991577,0.971428571428571,-0.853828966617584,0.154941707849503,0,0,0
"Legislator 73",1,13,0,0,22,0.961901962757111,1,-0.843978881835938,0.47211742401123,0,0,0
"Legislator 74",1,12,0,1,22,0.951028108596802,0.971428571428571,-0.92245763540268,0.352289766073227,0,0,0
"Legislator 75",1,15,0,0,20,0.93176919221878,1,-0.76370233297348,0.51215261220932,0,0,0
"Legislator 76",1,11,3,0,21,0.869946718215942,0.914285714285714,-0.991076946258545,0.133290901780128,0,0,0
"Legislator 77",1,9,5,0,21,0.825149834156036,0.857142857142857,-0.974404275417328,0.140127047896385,0,0,0
"Legislator 78",1,13,4,0,18,0.858011186122894,0.885714285714286,-0.98451155424118,0.1753199249506,0,0,0
"Legislator 79",1,15,1,0,19,0.941379189491272,0.971428571428571,-0.854899048805237,0.518794417381287,0,0,0
"Legislator 80",1,15,0,0,20,0.925480425357819,1,-0.874005675315857,0.485915660858154,0,0,0
"Legislator 81",1,13,0,0,22,0.957281410694122,1,-0.841884076595306,0.470116972923279,0,0,0
"Legislator 82",1,13,0,0,22,0.930144965648651,1,-0.993095457553864,0.117308780550957,0,0,0
"Legislator 83",1,14,0,0,21,0.950550973415375,1,-0.794128060340881,0.607750415802002,0,0,0
"Legislator 84",1,14,0,1,20,0.934564471244812,0.971428571428571,-0.893129289150238,0.449800103902817,0,0,0
"Legislator 85",1,16,0,0,19,0.950875282287598,1,-0.794312179088593,0.607509732246399,0,0,0
"Legislator 86",1,15,0,0,20,0.95019519329071,1,-0.808876395225525,0.587978780269623,0,0,0
