"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1",0,8,0,0,7,0.986047208309174,1,0.0228278543800116,0.999739468097687,0,0,0
"Legislator 2",0,5,0,0,10,0.983417987823486,1,0.0968176871538162,0.995302140712738,0,0,0
"Legislator 3",0,6,0,0,9,0.97376549243927,1,0.0193664580583572,0.999812483787537,0,0,0
"Legislator 4",0,7,1,0,7,0.876568615436554,0.933333333333333,0.0910127386450768,0.638156235218048,0,0,0
"Legislator 5",0,8,0,0,7,0.92853856086731,1,0.100521132349968,0.942894876003265,0,0,0
"Legislator 6",0,10,0,0,5,0.926604092121124,1,0.151645585894585,0.988434851169586,0,0,0
"Legislator 7",0,6,0,0,9,0.960798501968384,1,0.261711120605469,0.965146243572235,0,0,0
"Legislator 8",0,8,0,0,7,0.990108668804169,1,-0.00204430590383708,0.999997913837433,0,0,0
"Legislator 9",0,9,0,0,6,0.998556911945343,1,0.383888602256775,0.923379421234131,0,0,0
"Legislator 10",0,10,0,0,5,0.977575063705444,1,0.226921796798706,0.973913013935089,0,0,0
"Legislator 11",0,6,0,0,9,0.995118081569672,1,0.147279694676399,0.989094853401184,0,0,0
"Legislator 12",0,6,1,0,8,0.898718595504761,0.933333333333333,0.103865258395672,0.727634847164154,0,0,0
"Legislator 13",0,5,0,0,10,0.998023450374603,1,0.192272856831551,0.981341540813446,0,0,0
"Legislator 14",0,8,0,0,7,0.987916707992554,1,0.141287326812744,0.989968538284302,0,0,0
"Legislator 15",0,6,0,0,9,0.995782971382141,1,0.298147827386856,0.954519748687744,0,0,0
"Legislator 16",0,8,0,0,7,0.956651091575623,1,0.0124123655259609,0.999923050403595,0,0,0
"Legislator 17",0,10,0,0,5,0.968544781208038,1,0.159001469612122,0.908360242843628,0,0,0
"Legislator 18",0,7,0,0,8,0.897647738456726,1,-0.0252580028027296,0.601297616958618,0,0,0
"Legislator 19",0,7,0,1,7,0.838491261005402,0.933333333333333,0.317942470312119,0.737818717956543,0,0,0
"Legislator 20",0,6,0,1,8,0.855354189872742,0.933333333333333,0.0809569507837296,0.965205788612366,0,0,0
"Legislator 21",0,6,0,0,9,0.939030408859253,1,0.0615585707128048,0.976117074489594,0,0,0
"Legislator 22",0,12,0,0,3,0.985521614551544,1,0.588851630687714,0.808241188526154,0,0,0
"Legislator 23",0,9,0,0,6,0.944513976573944,1,0.0080568827688694,0.999967634677887,0,0,0
"Legislator 24",0,6,0,0,9,0.961642324924469,1,0.00673610251396894,0.999977350234985,0,0,0
"Legislator 25",0,3,1,0,11,0.921941339969635,0.933333333333333,0.153142690658569,0.746719598770142,0,0,0
"Legislator 26",0,6,0,0,9,0.903497338294983,1,0.213381126523018,0.670657932758331,0,0,0
"Legislator 27",0,7,0,0,8,0.903483986854553,1,0.00937097799032927,0.695649027824402,0,0,0
"Legislator 28",0,6,0,1,8,0.888276159763336,0.933333333333333,0.0619222521781921,0.846047163009644,0,0,0
"Legislator 29",0,6,0,1,8,0.871071636676788,0.933333333333333,0.136402010917664,0.73385226726532,0,0,0
"Legislator 30",0,4,0,0,11,0.932062149047852,1,0.0293762367218733,0.964583098888397,0,0,0
"Legislator 31",0,4,0,0,11,0.938136160373688,1,0.0109296068549156,0.730609774589539,0,0,0
"Legislator 32",0,4,0,1,10,0.857650756835938,0.933333333333333,0.0385134294629097,0.759221434593201,0,0,0
"Legislator 33",0,10,0,0,5,0.993918478488922,1,0.178350910544395,0.983966946601868,0,0,0
"Legislator 34",0,6,0,1,8,0.910106956958771,0.933333333333333,0.223279073834419,0.745330691337585,0,0,0
"Legislator 35",0,6,0,1,8,0.901787638664246,0.933333333333333,0.0286084786057472,0.834631025791168,0,0,0
"Legislator 36",0,7,0,0,8,0.910724997520447,1,-0.137528583407402,0.990497887134552,0,0,0
"Legislator 37",0,6,0,0,9,0.978184401988983,1,-0.00220214482396841,0.999997615814209,0,0,0
"Legislator 38",0,6,0,0,9,0.96177738904953,1,-0.0189601592719555,0.999820232391357,0,0,0
"Legislator 39",0,6,0,0,9,0.984605610370636,1,0.0930834636092186,0.99565839767456,0,0,0
"Legislator 40",0,7,0,1,7,0.934085965156555,0.933333333333333,0.0888224095106125,0.755105972290039,0,0,0
"Legislator 41",0,10,0,0,5,0.992577850818634,1,0.169251531362534,0.985572874546051,0,0,0
"Legislator 42",0,8,0,0,7,0.986737787723541,1,0.0400514788925648,0.999197602272034,0,0,0
"Legislator 43",0,8,0,0,7,0.987701237201691,1,0.0615554489195347,0.998103618621826,0,0,0
"Legislator 44",0,4,0,0,11,0.961448490619659,1,0.0485242903232574,0.641593992710114,0,0,0
"Legislator 45",0,6,0,0,9,0.997194528579712,1,0.259248465299606,0.965810716152191,0,0,0
"Legislator 46",0,4,1,0,10,0.911964356899261,0.933333333333333,0.0535762123763561,0.544435858726501,0,0,0
"Legislator 47",0,8,0,0,7,0.950522124767303,1,0.126526817679405,0.489625006914139,0,0,0
"Legislator 48",0,4,0,0,11,0.984760999679565,1,-0.00960529409348965,0.999953866004944,0,0,0
"Legislator 49",0,6,0,0,9,0.969817519187927,1,-0.0592955984175205,0.99824047088623,0,0,0
"Legislator 50",0,7,0,0,8,0.984246075153351,1,0.0756063833832741,0.997137725353241,0,0,0
"Legislator 51",1,4,0,0,11,0.979301750659943,1,-0.401846081018448,0.539685547351837,0,0,0
"Legislator 52",1,6,0,0,9,0.92070335149765,1,-0.567828953266144,0.0334019772708416,0,0,0
"Legislator 53",1,4,2,0,9,0.815827369689941,0.866666666666667,-0.495327919721603,0.0964528322219849,0,0,0
"Legislator 54",1,8,0,0,7,0.873441517353058,1,-0.513297975063324,0.114033885300159,0,0,0
"Legislator 55",1,7,0,0,8,0.926376581192017,1,-0.40992084145546,0.504199147224426,0,0,0
"Legislator 56",1,6,0,0,9,0.964636862277985,1,-0.49931874871254,0.415715157985687,0,0,0
"Legislator 57",1,6,0,0,9,0.948192894458771,1,-0.687985420227051,0.212919488549232,0,0,0
"Legislator 58",1,4,0,0,11,0.970063090324402,1,-0.509998559951782,0.606798648834229,0,0,0
"Legislator 59",1,2,2,0,11,0.795290589332581,0.866666666666667,-0.515806496143341,0.161032363772392,0,0,0
"Legislator 60",1,7,0,0,8,0.972435474395752,1,-0.554165542125702,0.596602320671082,0,0,0
"Legislator 61",1,6,0,0,9,0.852104485034943,1,-0.751584708690643,-0.136528730392456,0,0,0
"Legislator 62",1,7,1,0,7,0.848656475543976,0.933333333333333,-0.210999757051468,0.835685670375824,0,0,0
"Legislator 63",1,7,0,0,8,0.95155668258667,1,-0.340708643198013,0.351744532585144,0,0,0
"Legislator 64",1,10,0,0,5,0.812352120876312,1,-0.211997225880623,0.623293340206146,0,0,0
