"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D","beta","weight1D","weight2D"
"1",44,2,2,192,0.928628623485565,0.91304347826087,-0.419145464897156,0.703332424163818,0.585114359855652,-0.352291345596313,16.6713466644287,0.691013872623444,0.571739494800568
"2",166,9,1,64,0.845359802246094,0.863013698630137,-0.208249911665916,-0.455279916524887,-0.419745028018951,-0.143550708889961,16.6713466644287,0.691013872623444,0.571739494800568
"3",177,2,1,60,0.939606368541718,0.951612903225806,-1.43320059776306,-0.127606451511383,-0.482868790626526,-0.252943575382233,16.6713466644287,0.691013872623444,0.571739494800568
"4",131,0,1,108,0.961694359779358,0.990740740740741,-1.0906810760498,-0.270283997058868,-0.0906810984015465,-0.180627331137657,16.6713466644287,0.691013872623444,0.571739494800568
"5",92,20,15,113,0.737345337867737,0.672897196261682,0.211439430713654,-0.240820497274399,-0.138005957007408,0.0699236690998077,16.6713466644287,0.691013872623444,0.571739494800568
"6",148,2,1,89,0.936163663864136,0.967032967032967,-1.25044965744019,-0.0148813519626856,-0.250449597835541,-0.305095940828323,16.6713466644287,0.691013872623444,0.571739494800568
"7",65,0,0,175,0.96006965637207,1,1.47794842720032,-0.20092399418354,-0.478141099214554,-0.440615743398666,16.6713466644287,0.691013872623444,0.571739494800568
"8",30,13,1,196,0.886821985244751,0.548387096774194,-0.170000016689301,-1.45055961608887,0.628891229629517,0.717797458171844,16.6713466644287,0.691013872623444,0.571739494800568
"9",167,8,1,64,0.848399817943573,0.875,-0.211968138813972,-0.47025740146637,-0.437626719474792,-0.14070925116539,16.6713466644287,0.691013872623444,0.571739494800568
"10",146,5,4,85,0.895638763904572,0.9,0.518313705921173,0.40020939707756,0.223376139998436,0.25339275598526,16.6713466644287,0.691013872623444,0.571739494800568
"11",59,4,0,177,0.929808080196381,0.932203389830508,-0.102924659848213,-1.59891366958618,0.196489065885544,0.533811748027802,16.6713466644287,0.691013872623444,0.571739494800568
"12",39,11,1,189,0.884518623352051,0.7,0.171013727784157,0.875269949436188,-0.411446541547775,-0.422918766736984,16.6713466644287,0.691013872623444,0.571739494800568
"13",83,4,14,139,0.749017477035522,0.814432989690722,-0.207002609968185,0.273284584283829,0.207471206784248,0.0101896012201905,16.6713466644287,0.691013872623444,0.571739494800568
"14",75,4,5,156,0.844423055648804,0.8875,-0.188462138175964,0.510797262191772,0.405859559774399,-0.163961634039879,16.6713466644287,0.691013872623444,0.571739494800568
"15",195,0,0,45,0.984435677528381,1,-1.46097028255463,0.963940858840942,-0.615673542022705,0.13302618265152,16.6713466644287,0.691013872623444,0.571739494800568
"16",114,3,8,115,0.901881575584412,0.906779661016949,1.07107853889465,-0.083405464887619,0.0710785910487175,0.226274609565735,16.6713466644287,0.691013872623444,0.571739494800568
