"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1",0,11,0,0,13,0.935744345188141,1,0.312263488769531,0.949995458126068,0,0,0
"Legislator 2",0,14,0,0,11,0.98498010635376,1,0.457909286022186,0.888998925685883,0,0,0
"Legislator 3",0,14,0,0,11,0.951935052871704,1,0.339251816272736,0.940695583820343,0,0,0
"Legislator 4",0,15,0,0,10,0.98741340637207,1,0.287691324949265,0.957723140716553,0,0,0
"Legislator 5",0,10,0,0,14,0.987236022949219,1,0.334222078323364,0.94249439239502,0,0,0
"Legislator 6",0,11,0,0,13,0.952944755554199,1,0.250149577856064,0.96820718050003,0,0,0
"Legislator 7",0,9,0,1,14,0.915132999420166,0.958333333333333,0.24350893497467,0.756174743175507,0,0,0
"Legislator 8",0,10,0,0,15,0.966696739196777,1,0.188213467597961,0.982128202915192,0,0,0
"Legislator 9",0,12,0,0,13,0.929889857769012,1,0.310118407011032,0.950697898864746,0,0,0
"Legislator 10",0,9,1,0,14,0.935947835445404,0.958333333333333,0.283506006002426,0.841222405433655,0,0,0
"Legislator 11",0,11,0,1,13,0.887245774269104,0.96,0.266682744026184,0.736254572868347,0,0,0
"Legislator 12",0,12,0,1,12,0.933843493461609,0.96,0.266712009906769,0.690592288970947,0,0,0
"Legislator 13",0,10,0,0,14,0.914138913154602,1,0.280838072299957,0.683594226837158,0,0,0
"Legislator 14",0,12,0,0,13,0.962349653244019,1,0.391396373510361,0.920222163200378,0,0,0
"Legislator 15",0,13,0,0,12,0.932055056095123,1,0.038511861115694,0.999258100986481,0,0,0
"Legislator 16",0,10,0,0,15,0.977803170681,1,0.20353952050209,0.979066729545593,0,0,0
"Legislator 17",0,9,0,0,15,0.927876114845276,1,0.255063027143478,0.444878071546555,0,0,0
"Legislator 18",0,9,1,1,14,0.877471387386322,0.92,0.083192341029644,0.770493149757385,0,0,0
"Legislator 19",0,10,1,3,11,0.724686443805695,0.84,0.394741117954254,0.549832820892334,0,0,0
"Legislator 20",0,12,0,1,12,0.897858083248138,0.96,0.307349592447281,0.559686541557312,0,0,0
"Legislator 21",0,12,0,0,13,0.961473226547241,1,0.384873986244202,0.922969162464142,0,0,0
"Legislator 22",0,12,0,2,11,0.841610491275787,0.92,0.320594966411591,0.790724873542786,0,0,0
"Legislator 23",0,9,0,1,15,0.957213759422302,0.96,0.0823692083358765,0.996601819992065,0,0,0
"Legislator 24",0,9,0,1,14,0.964993000030518,0.958333333333333,0.0614862963557243,0.99810791015625,0,0,0
"Legislator 25",0,9,0,0,15,0.91260439157486,1,0.245720148086548,0.684611797332764,0,0,0
"Legislator 26",0,10,0,0,14,0.980189204216003,1,0.300107836723328,0.926183879375458,0,0,0
"Legislator 27",0,14,0,0,10,0.924988925457001,1,0.164622962474823,0.986356675624847,0,0,0
"Legislator 28",0,11,0,0,14,0.960195422172546,1,0.272038877010345,0.962286293506622,0,0,0
"Legislator 29",0,10,0,2,13,0.842982113361359,0.92,0.242813646793365,0.797935605049133,0,0,0
"Legislator 30",0,14,1,1,9,0.871285259723663,0.92,0.192218780517578,0.830048680305481,0,0,0
"Legislator 31",0,14,0,0,11,0.944287896156311,1,0.296215087175369,0.955121219158173,0,0,0
"Legislator 32",0,14,0,1,10,0.914678275585175,0.96,0.254328399896622,0.703418850898743,0,0,0
"Legislator 33",0,11,0,0,13,0.950669765472412,1,0.259342223405838,0.965785562992096,0,0,0
"Legislator 34",0,10,0,3,12,0.836066961288452,0.88,0.275817573070526,0.719030261039734,0,0,0
"Legislator 35",0,10,0,1,13,0.927897036075592,0.958333333333333,0.531355738639832,0.847148776054382,0,0,0
"Legislator 36",0,8,0,1,15,0.968656122684479,0.958333333333333,0.20816658437252,0.978093445301056,0,0,0
"Legislator 37",0,9,1,0,15,0.923458516597748,0.96,0.150169774889946,0.761215090751648,0,0,0
"Legislator 38",0,8,2,1,13,0.842272460460663,0.875,0.181349545717239,0.82697319984436,0,0,0
"Legislator 39",0,11,0,1,13,0.914205849170685,0.96,0.242613226175308,0.792905926704407,0,0,0
"Legislator 40",0,10,1,0,13,0.927285254001617,0.958333333333333,0.233940854668617,0.934071958065033,0,0,0
"Legislator 41",0,9,1,0,14,0.896111965179443,0.958333333333333,0.153674826025963,0.806928098201752,0,0,0
"Legislator 42",0,9,0,0,15,0.921038508415222,1,0.133128866553307,0.851818382740021,0,0,0
"Legislator 43",0,13,0,0,12,0.963702023029327,1,0.301944673061371,0.953325390815735,0,0,0
"Legislator 44",0,10,1,0,14,0.93058979511261,0.96,0.143150046467781,0.988306939601898,0,0,0
"Legislator 45",0,11,0,0,14,0.928853213787079,1,0.428930759429932,0.903337359428406,0,0,0
"Legislator 46",0,8,0,1,15,0.893821537494659,0.958333333333333,0.423284322023392,0.628707766532898,0,0,0
"Legislator 47",0,12,1,0,12,0.935969114303589,0.96,0.352269381284714,0.935898661613464,0,0,0
"Legislator 48",0,10,1,0,14,0.924235463142395,0.96,0.248118191957474,0.730049133300781,0,0,0
"Legislator 49",0,9,0,0,16,0.970983743667603,1,0.100582920014858,0.994928658008575,0,0,0
"Legislator 50",0,8,1,0,15,0.91059398651123,0.958333333333333,0.121178284287453,0.765814483165741,0,0,0
"Legislator 51",1,11,0,0,14,0.971235752105713,1,-0.52521675825119,0.65697169303894,0,0,0
"Legislator 52",1,8,1,0,16,0.897545456886292,0.96,-0.668907403945923,0.0598134398460388,0,0,0
"Legislator 53",1,8,1,0,15,0.902101159095764,0.958333333333333,-0.737630844116211,0.1366236358881,0,0,0
"Legislator 54",1,8,1,0,16,0.888512969017029,0.96,-0.918602883815765,0.284490942955017,0,0,0
"Legislator 55",1,9,0,0,15,0.963350653648376,1,-0.509059190750122,0.418268769979477,0,0,0
"Legislator 56",1,10,0,0,14,0.903238713741302,1,-0.428298562765121,0.42444509267807,0,0,0
"Legislator 57",1,12,0,1,12,0.865419209003448,0.96,-0.495384395122528,0.340036123991013,0,0,0
"Legislator 58",1,10,0,0,14,0.981194853782654,1,-0.558263123035431,0.829663991928101,0,0,0
"Legislator 59",1,11,0,0,14,0.909894406795502,1,-0.669613599777222,-0.0579886920750141,0,0,0
"Legislator 60",1,10,0,0,15,0.949077248573303,1,-0.56462562084198,0.472042173147202,0,0,0
"Legislator 61",1,7,0,0,18,0.936280727386475,1,-0.723626136779785,-0.2606460750103,0,0,0
"Legislator 62",1,8,0,1,16,0.870756387710571,0.96,-0.135433241724968,0.585687518119812,0,0,0
"Legislator 63",1,9,0,0,16,0.925823092460632,1,-0.849365293979645,0.527805507183075,0,0,0
"Legislator 64",1,12,1,1,10,0.904121160507202,0.916666666666667,-0.360567063093185,0.932733356952667,0,0,0
"Legislator 65",1,12,0,0,12,0.967569887638092,1,-0.480112493038177,0.877206921577454,0,0,0
"Legislator 66",1,6,0,0,19,0.8643918633461,1,-0.73201197385788,-0.0118822446092963,0,0,0
"Legislator 67",1,10,0,0,15,0.970165908336639,1,-0.687867641448975,0.597548484802246,0,0,0
"Legislator 68",1,9,0,1,15,0.91765421628952,0.96,-0.538773953914642,0.428260713815689,0,0,0
"Legislator 69",1,11,0,0,14,0.962399959564209,1,-0.424931794404984,0.523654818534851,0,0,0
"Legislator 70",1,12,0,0,13,0.941262125968933,1,-0.52536553144455,0.204192563891411,0,0,0
"Legislator 71",1,9,1,1,13,0.83332109451294,0.916666666666667,-0.343670070171356,0.44441220164299,0,0,0
"Legislator 72",1,9,1,0,14,0.933998107910156,0.958333333333333,-0.510786652565002,0.0464025177061558,0,0,0
