"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1","Grüne",41,8,7,19,0.650290548801422,0.8,0.381994336843491,-0.219646036624908,0,0,0
"Legislator 2","FDP",28,9,9,29,0.61829662322998,0.76,-0.060802984982729,0.261186182498932,0,0,0
"Legislator 3","FDP",34,9,8,24,0.612729609012604,0.773333333333333,-0.00878615025430918,0.0763892009854317,0,0,0
"Legislator 4","Grüne",41,4,3,27,0.850489675998688,0.906666666666667,0.962734997272491,-0.270446538925171,0,0,0
"Legislator 5","glp",34,16,10,15,0.548916935920715,0.653333333333333,0.141157642006874,-0.110329821705818,0,0,0
"Legislator 6","CVP",33,11,5,26,0.608599483966827,0.786666666666667,0.066450372338295,-0.106810204684734,0,0,0
"Legislator 7","FDP",31,6,21,17,0.526462435722351,0.64,-0.0960938110947609,-0.391557097434998,0,0,0
"Legislator 8","Grüne",39,6,11,19,0.61039924621582,0.773333333333333,0.233779668807983,-0.593590378761292,0,0,0
"Legislator 9","Grüne",42,4,2,27,0.816021740436554,0.92,0.533389747142792,-0.48487600684166,0,0,0
"Legislator 10","Grüne",45,3,0,27,0.902998983860016,0.96,0.975702822208405,0.0517050176858902,0,0,0
"Legislator 11","CVP",40,12,2,21,0.656156182289124,0.813333333333333,0.24743027985096,0.145015701651573,0,0,0
"Legislator 12","FDP",34,10,10,21,0.600684106349945,0.733333333333333,0.0226269997656345,0.287292748689651,0,0,0
"Legislator 13","glp",46,2,2,25,0.829172849655151,0.946666666666667,0.230026662349701,0.941132009029388,0,0,0
"Legislator 14","CVP",27,8,14,26,0.579432904720306,0.706666666666667,-0.0427177958190441,-0.626905560493469,0,0,0
"Legislator 15","CVP",37,10,3,25,0.639479875564575,0.826666666666667,0.0880285650491714,0.0666098371148109,0,0,0
"Legislator 16","CVP",37,14,6,18,0.585922479629517,0.733333333333333,0.116475082933903,0.0193091332912445,0,0,0
"Legislator 17","CVP",49,4,7,15,0.684858560562134,0.853333333333333,0.258931934833527,0.192646384239197,0,0,0
"Legislator 18","BDP",42,7,5,21,0.693454027175903,0.84,0.123542532324791,0.319649547338486,0,0,0
"Legislator 19","glp",46,4,2,23,0.776790678501129,0.92,0.191342040896416,0.651846706867218,0,0,0
"Legislator 20","FDP",22,8,7,38,0.670266687870026,0.8,-0.248324289917946,0.968676924705505,0,0,0
"Legislator 21","glp",41,5,4,25,0.754081308841705,0.88,0.0853090360760689,0.927258372306824,0,0,0
"Legislator 22","SP",46,2,0,27,0.906736671924591,0.973333333333333,0.961762547492981,0.0402465127408504,0,0,0
"Legislator 23","CVP",31,11,4,29,0.651115417480469,0.8,0.0884897708892822,-0.390562355518341,0,0,0
"Legislator 24","FDP",33,8,16,18,0.539834856987,0.68,0.0160016063600779,-0.482654333114624,0,0,0
"Legislator 25","Grüne",35,8,7,25,0.63808810710907,0.8,0.351051867008209,-0.845349669456482,0,0,0
"Legislator 26","Grüne",43,2,1,29,0.895097255706787,0.96,0.915810823440552,-0.401610106229782,0,0,0
"Legislator 27","CVP",41,10,2,22,0.667059600353241,0.84,0.159068658947945,-0.0769099742174149,0,0,0
"Legislator 28","BDP",34,15,10,16,0.538604199886322,0.666666666666667,0.0949397087097168,-0.00601222272962332,0,0,0
"Legislator 29","SP",42,3,3,27,0.841964840888977,0.92,0.617408990859985,-0.786642253398895,0,0,0
"Legislator 30","BDP",35,9,7,24,0.608368992805481,0.786666666666667,0.046537309885025,0.152876287698746,0,0,0
"Legislator 31","SP",44,1,5,25,0.849437177181244,0.92,0.983296632766724,-0.182010158896446,0,0,0
"Legislator 32","SVP",30,1,3,41,0.817120552062988,0.946666666666667,-0.708827495574951,-0.453049808740616,0,0,0
"Legislator 33","SP",46,1,3,25,0.872455716133118,0.946666666666667,0.996946156024933,0.0380682162940502,0,0,0
"Legislator 34","SVP",23,8,9,35,0.684040069580078,0.773333333333333,-0.419930785894394,0.0524926260113716,0,0,0
"Legislator 35","CVP",28,4,6,37,0.690365314483643,0.866666666666667,-0.230872169137001,0.47601968050003,0,0,0
"Legislator 36","Grüne",42,3,1,29,0.891331493854523,0.946666666666667,0.987702965736389,-0.156342178583145,0,0,0
"Legislator 37","Grüne",47,2,1,25,0.887459635734558,0.96,0.901151478290558,0.24803800880909,0,0,0
"Legislator 38","glp",40,7,3,25,0.742752432823181,0.866666666666667,0.13973394036293,0.990189135074615,0,0,0
"Legislator 39","Grüne",46,2,0,27,0.908958554267883,0.973333333333333,0.977408766746521,0.167113065719604,0,0,0
"Legislator 40","Grüne",45,2,1,27,0.851163506507874,0.96,0.99850583076477,-0.025711489841342,0,0,0
"Legislator 41","CVP",27,11,12,25,0.554537057876587,0.693333333333333,-0.0186804831027985,-0.999825596809387,0,0,0
"Legislator 42","CVP",42,9,3,21,0.683055341243744,0.84,0.223865777254105,-0.189988046884537,0,0,0
"Legislator 43","Grüne",43,2,2,28,0.893253564834595,0.946666666666667,0.877468883991241,-0.201057001948357,0,0,0
