"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D","beta","weight1D","weight2D"
"1",645,283,120,401,0.561922609806061,0.410818713450292,0.202454015612602,0.0416046939790249,0.141113966703415,-0.138729751110077,9.71450710296631,0.867199122905731,0.552734196186066
"2",215,58,169,1006,0.698722124099731,0.408854166666667,0.482885420322418,0.290832281112671,-0.256626069545746,-0.0147495316341519,9.71450710296631,0.867199122905731,0.552734196186066
"3",126,51,135,1131,0.738423049449921,0.28735632183908,0.406862050294876,0.485460132360458,-0.409813463687897,-0.141784608364105,9.71450710296631,0.867199122905731,0.552734196186066
"4",817,151,114,344,0.69911140203476,0.464646464646465,-0.756283760070801,-0.117553308606148,-0.145258679986,-0.0159081052988768,9.71450710296631,0.867199122905731,0.552734196186066
"5",879,186,100,281,0.665110230445862,0.387580299785867,-0.33647295832634,-0.411475211381912,-0.208686500787735,-0.0200694929808378,9.71450710296631,0.867199122905731,0.552734196186066
"6",153,15,46,1269,0.882552146911621,0.693467336683417,0.973331034183502,1.05703723430634,-0.39175021648407,-0.240426361560822,9.71450710296631,0.867199122905731,0.552734196186066
"7",714,137,119,460,0.690850019454956,0.571189279731993,-0.656783699989319,0.156012609601021,-0.07209612429142,0.178194314241409,9.71450710296631,0.867199122905731,0.552734196186066
"8",627,127,134,587,0.680506408214569,0.634453781512605,0.262128680944443,-0.671353757381439,0.0914558693766594,-0.0431368872523308,9.71450710296631,0.867199122905731,0.552734196186066
"9",1123,102,38,198,0.780058145523071,0.533333333333333,-1.15097308158875,-0.0999726727604866,-0.290989905595779,0.0482729934155941,9.71450710296631,0.867199122905731,0.552734196186066
"10",820,102,105,414,0.733145594596863,0.598837209302326,-1.13520181179047,-0.16331259906292,-0.135201811790466,0.198665738105774,9.71450710296631,0.867199122905731,0.552734196186066
