"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1","Grüne",30,5,5,13,0.691526114940643,0.811320754716981,0.345060795545578,-0.0112792002037168,0,0,0
"Legislator 2","FDP",18,6,5,24,0.594817161560059,0.792452830188679,-0.0983036756515503,0.235458344221115,0,0,0
"Legislator 3","FDP",25,9,4,15,0.603784322738647,0.754716981132076,-0.0513374768197536,0.0619166232645512,0,0,0
"Legislator 4","Grüne",27,3,2,21,0.852037966251373,0.905660377358491,0.703482449054718,-0.586357414722443,0,0,0
"Legislator 5","glp",26,12,7,8,0.534694314002991,0.641509433962264,0.078437827527523,-0.105342648923397,0,0,0
"Legislator 6","CVP",22,10,2,19,0.587372004985809,0.773584905660377,-0.023774154484272,-0.24562893807888,0,0,0
"Legislator 7","FDP",22,3,13,15,0.551452338695526,0.69811320754717,-0.162115409970284,-0.268454313278198,0,0,0
"Legislator 8","Grüne",29,2,8,14,0.576587617397308,0.811320754716981,0.18210680782795,-0.437659382820129,0,0,0
"Legislator 9","Grüne",30,3,2,18,0.808404982089996,0.905660377358491,0.432085573673248,-0.288984894752502,0,0,0
"Legislator 10","Grüne",32,2,0,19,0.904296576976776,0.962264150943396,0.76290613412857,-0.0768317580223083,0,0,0
"Legislator 11","CVP",31,4,0,18,0.760462999343872,0.924528301886792,0.203721523284912,0.294838190078735,0,0,0
"Legislator 12","FDP",26,9,6,12,0.587395191192627,0.716981132075472,-0.00423884997144341,0.193207576870918,0,0,0
"Legislator 13","glp",34,0,2,17,0.856291115283966,0.962264150943396,0.177146628499031,0.97908228635788,0,0,0
"Legislator 14","CVP",20,7,9,17,0.585033118724823,0.69811320754717,-0.0805548503994942,-0.737273037433624,0,0,0
"Legislator 15","CVP",23,9,3,18,0.596084833145142,0.773584905660377,0.000946415821090341,0.071831114590168,0,0,0
"Legislator 16","CVP",27,8,3,15,0.622177243232727,0.792452830188679,0.0875221788883209,0.0119986785575747,0,0,0
