"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1","Grüne",38,9,6,14,0.649127006530762,0.776119402985075,0.260257184505463,-0.162857353687286,0,0,0
"Legislator 2","FDP",28,9,8,22,0.617321610450745,0.746268656716418,-0.170509487390518,0.187899097800255,0,0,0
"Legislator 3","FDP",31,7,7,22,0.604831576347351,0.791044776119403,-0.127909049391747,0.064322218298912,0,0,0
"Legislator 4","Grüne",36,4,3,24,0.841911792755127,0.895522388059702,0.819906294345856,-0.219931244850159,0,0,0
"Legislator 5","glp",34,11,6,16,0.585834562778473,0.746268656716418,0.0463876090943813,-0.243405476212502,0,0,0
"Legislator 6","CVP",31,11,4,21,0.621763288974762,0.776119402985075,-0.0523888915777206,-0.139434084296227,0,0,0
"Legislator 7","FDP",29,4,20,14,0.524277985095978,0.641791044776119,-0.213065713644028,-0.375527679920197,0,0,0
"Legislator 8","Grüne",35,4,10,18,0.600895583629608,0.791044776119403,0.128683224320412,-0.514737963676453,0,0,0
"Legislator 9","Grüne",39,3,2,23,0.819476366043091,0.925373134328358,0.374412775039673,-0.453047543764114,0,0,0
"Legislator 10","Grüne",40,2,0,25,0.922698795795441,0.970149253731343,0.995341658592224,0.0321677885949612,0,0,0
"Legislator 11","CVP",34,11,2,20,0.655037999153137,0.805970149253731,0.129786461591721,0.224941417574883,0,0,0
"Legislator 12","FDP",32,9,7,19,0.608251988887787,0.761194029850746,-0.0939090102910995,0.267391979694366,0,0,0
"Legislator 13","glp",39,2,3,23,0.830586135387421,0.925373134328358,0.0817590802907944,0.956279635429382,0,0,0
"Legislator 14","CVP",23,9,12,23,0.582724750041962,0.686567164179104,-0.163109079003334,-0.611292541027069,0,0,0
"Legislator 15","CVP",33,9,2,23,0.658445656299591,0.835820895522388,-0.0454436838626862,0.0773741528391838,0,0,0
"Legislator 16","CVP",35,12,6,14,0.569344341754913,0.73134328358209,-0.0176499653607607,0.0109010264277458,0,0,0
"Legislator 17","CVP",45,3,8,11,0.690353751182556,0.835820895522388,0.122691966593266,0.255258232355118,0,0,0
"Legislator 18","BDP",37,5,5,20,0.705538213253021,0.850746268656716,-0.00896361283957958,0.335620641708374,0,0,0
"Legislator 19","glp",42,2,2,21,0.786974906921387,0.940298507462687,0.0785548761487007,0.611083149909973,0,0,0
"Legislator 20","FDP",19,8,7,33,0.673840641975403,0.776119402985075,-0.404298633337021,0.914627015590668,0,0,0
"Legislator 21","glp",36,4,3,24,0.751311302185059,0.895522388059702,-0.0526388324797153,0.86519855260849,0,0,0
"Legislator 22","SP",43,2,0,22,0.905302107334137,0.970149253731343,0.821076810359955,0.111054256558418,0,0,0
"Legislator 23","CVP",30,9,2,26,0.660764515399933,0.835820895522388,-0.0261843167245388,-0.325023353099823,0,0,0
