"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1","Grüne",26,3,4,12,0.619556069374084,0.844444444444444,0.273730218410492,-0.340112447738647,0,0,0
"Legislator 2","FDP",18,5,5,17,0.628417313098907,0.777777777777778,-0.0676985159516335,0.295717597007751,0,0,0
"Legislator 3","FDP",22,5,4,14,0.637033522129059,0.8,-0.0111684398725629,-0.0167442727833986,0,0,0
"Legislator 4","Grüne",23,2,1,19,0.849510192871094,0.933333333333333,0.93422144651413,0.0634652078151703,0,0,0
"Legislator 5","glp",19,8,6,12,0.529415667057037,0.688888888888889,0.0711075142025948,-0.300286263227463,0,0,0
"Legislator 6","CVP",17,6,4,18,0.560168147087097,0.777777777777778,-0.0102269789204001,-0.00615525431931019,0,0,0
"Legislator 7","FDP",22,4,10,9,0.551868498325348,0.688888888888889,-0.100270763039589,-0.459100037813187,0,0,0
"Legislator 8","Grüne",27,4,5,9,0.634377181529999,0.8,0.178787499666214,-0.467658758163452,0,0,0
"Legislator 9","Grüne",25,2,1,17,0.813105762004852,0.933333333333333,0.390295654535294,-0.418322205543518,0,0,0
"Legislator 10","Grüne",27,1,0,17,0.92570960521698,0.977777777777778,0.651754140853882,-0.0801835581660271,0,0,0
"Legislator 11","CVP",24,7,2,12,0.690193057060242,0.8,0.187484458088875,0.262388974428177,0,0,0
"Legislator 12","FDP",20,8,4,13,0.597245037555695,0.733333333333333,-0.00287050008773804,0.3014295399189,0,0,0
"Legislator 13","glp",27,1,2,15,0.841698586940765,0.933333333333333,0.15034881234169,0.98863297700882,0,0,0
"Legislator 14","CVP",17,6,7,15,0.557357251644135,0.711111111111111,-0.064726397395134,-0.507216334342957,0,0,0
"Legislator 15","CVP",19,5,2,19,0.627786636352539,0.844444444444444,0.0364799275994301,0.266401141881943,0,0,0
"Legislator 16","CVP",22,7,6,10,0.560642302036285,0.711111111111111,0.0747764632105827,0.0523086152970791,0,0,0
"Legislator 17","CVP",31,1,5,8,0.719092607498169,0.866666666666667,0.14389157295227,0.369410216808319,0,0,0
"Legislator 18","BDP",26,3,3,13,0.718027114868164,0.866666666666667,0.0443188063800335,0.449560403823853,0,0,0
"Legislator 19","glp",25,1,3,16,0.798159837722778,0.911111111111111,0.112467996776104,0.732355952262878,0,0,0
"Legislator 20","FDP",13,6,4,22,0.608734726905823,0.777777777777778,-0.295764356851578,0.955260813236237,0,0,0
"Legislator 21","glp",23,4,3,15,0.724873125553131,0.844444444444444,0.0416028834879398,0.787292242050171,0,0,0
"Legislator 22","SP",30,2,0,13,0.887557685375214,0.955555555555556,0.646650016307831,-0.104361392557621,0,0,0
"Legislator 23","CVP",19,6,2,18,0.659916400909424,0.822222222222222,0.0620239898562431,-0.347425311803818,0,0,0
"Legislator 24","FDP",22,5,6,12,0.557711958885193,0.755555555555556,0.00826166477054358,-0.689395844936371,0,0,0
